date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-27,38.69,39.02,38.38,31.1316997287,1759700.0,0.0426,0.728,0.6854,28.1989,31.6055,29.9022,66.5319,30.8315,30.1472,4.6348,129.5738,15.4452,True
2012-03-28,38.83,38.87,37.79,30.4814501985,1669100.0,-0.0061,0.6778,0.6839,28.2015,31.6422,29.9218,58.533,30.7688,30.2726,3.4584,110.9693,13.0729,False
2012-03-29,37.65,38.37,37.5,30.7784777617,1302400.0,-0.0235,0.6545,0.678,28.208,31.7278,29.9679,60.8374,30.8315,30.382,1.8574,104.3389,11.9233,False
2012-03-30,38.46,39.22,38.15,31.2842273963,2421000.0,-0.0071,0.6691,0.6762,28.249,31.8872,30.0681,64.4422,30.9711,30.5065,5.5095,125.6123,14.514,False
2012-04-02,38.89,39.01,38.11,31.0594497809,1437000.0,-0.017,0.655,0.672,28.5148,31.8912,30.203,61.7362,30.9471,30.6251,7.098,117.0146,14.353,False
2012-04-03,38.61,38.99,38.13,30.8025610776,1231300.0,-0.0448,0.616,0.6608,28.8841,31.7773,30.3307,58.717,30.8812,30.6716,10.2712,111.0109,14.353,False
2012-04-04,38.05,38.13,37.09,30.0318949678,1312500.0,-0.1151,0.5169,0.632,29.1809,31.6236,30.4023,50.741,30.7913,30.6945,6.37,73.4486,10.1883,False
2012-04-05,37.47,37.99,37.35,30.1924504073,1379200.0,-0.1486,0.4462,0.5948,29.3738,31.5363,30.455,52.1906,30.6741,30.6864,3.5328,75.0313,10.1883,False
2012-04-09,37.24,37.7,37.07,30.1683670914,1219800.0,-0.1688,0.3838,0.5526,29.5106,31.4746,30.4926,51.9449,30.4509,30.6693,2.7425,64.7784,9.0822,False
2012-04-10,37.39,37.74,36.57,29.5422008772,2007200.0,-0.2176,0.2806,0.4982,29.5834,31.4279,30.5057,45.9229,30.1475,30.6019,2.7399,45.8749,7.1292,False
2012-04-11,37.05,38.21,36.9,30.0880893716,1594400.0,-0.2065,0.2401,0.4466,29.5811,31.4286,30.5048,51.2066,30.0046,30.5724,1.7827,64.2288,8.6919,False
2012-04-12,37.63,38.45,37.5,30.6219362081,1252500.0,-0.1587,0.2482,0.4069,29.7064,31.3966,30.5515,55.738,30.1226,30.5609,0.5535,83.7141,9.4829,False
2012-04-13,37.92,37.93,37.21,29.9275339321,894100.0,-0.1685,0.1963,0.3648,29.6495,31.4149,30.5322,49.3506,30.0696,30.5251,0.4369,57.1717,8.3298,False
2012-04-16,37.39,37.57,37.0,29.7428951766,1763300.0,-0.1809,0.1387,0.3196,29.5511,31.4451,30.4981,47.7904,29.9845,30.4689,-3.1701,43.5323,7.496,False
