date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-22,27.91,28.14,27.79,24.5245143425,22163000.0,-0.0154,0.1719,0.1565,23.6865,24.886,22.487,55.8641,24.4159,23.9187,5.591,7.6963,2.1128,True
2012-06-25,27.54,27.75,27.24,24.1916816479,24918800.0,0.0181,0.1339,0.152,23.7513,24.9123,22.5904,52.2525,24.5035,24.0016,5.4131,-18.8065,0.9723,True
2012-06-26,27.63,27.945,27.515,24.3756155054,20614200.0,0.0467,0.1146,0.1614,23.8113,24.9711,22.6516,54.0129,24.4807,24.0673,4.3503,-2.6574,0.1158,True
2012-06-27,27.76,28.455,27.76,24.6734131796,19388200.0,0.0755,0.1151,0.1906,23.8989,25.0412,22.7567,56.7772,24.4247,24.1047,8.0296,23.2956,2.8987,True
2012-06-28,28.03,28.26,27.73,24.6734131796,27175800.0,0.1027,0.1087,0.2114,23.9734,25.1137,22.833,56.7772,24.4877,24.1625,5.7635,20.1196,2.7275,True
2012-06-29,28.81,29.71,28.79,26.0135027133,35545300.0,0.1486,0.1836,0.3321,24.1354,25.4543,22.8165,67.0185,24.7855,24.3108,13.0518,112.229,10.0817,True
2012-07-02,29.53,29.8,29.15,26.096710887,24445300.0,0.2048,0.2248,0.4296,24.2928,25.7515,22.8342,67.5303,25.1665,24.4851,13.1359,124.0458,10.5087,True
2012-07-03,29.63,29.98,29.61,26.2499891016,14468399.0,0.2665,0.2468,0.5133,24.4358,26.0634,22.8082,68.4953,25.5414,24.6568,11.2843,139.9328,11.3649,True
2012-07-05,29.83,29.93,29.71,26.0310202235,19244049.0,0.3243,0.2313,0.5555,24.5317,26.2925,22.771,65.5152,25.8129,24.8144,8.56,131.009,11.3649,True
2012-07-06,29.37,29.48,28.94,25.5580474469,25259400.0,0.3684,0.1762,0.5446,24.6193,26.4012,22.8375,59.5219,25.9899,24.947,6.196,89.761,6.8426,True
2012-07-09,29.23,29.36,29.02,25.487977406,21873200.0,0.3995,0.1247,0.5242,24.7043,26.4817,22.9269,58.67,25.8847,25.0287,7.6641,85.5794,6.8426,True
2012-07-10,29.36,29.6,28.85,25.4441836303,23424100.0,0.4194,0.0794,0.4988,24.8024,26.5145,23.0902,58.113,25.7542,25.1414,7.9504,84.5702,8.0463,True
2012-07-11,28.98,29.32,28.91,25.6543937533,27247300.0,0.4335,0.0564,0.4899,24.9014,26.5697,23.2331,60.0629,25.6351,25.2191,8.2143,85.9462,8.0463,True
2012-07-12,29.45,29.465,28.61,25.2945476555,23562000.0,0.4365,0.0122,0.4487,24.9828,26.5584,23.4072,55.3382,25.4878,25.2418,7.8359,74.2973,6.2676,True
2012-07-13,28.87,29.655,28.75,25.9615794465,22026800.0,0.4421,0.0224,0.4645,25.1024,26.5915,23.6132,61.3729,25.5685,25.3487,8.6504,96.7995,7.251,True
2012-07-16,29.43,29.745,29.28,25.908919042,16819600.0,0.4472,0.0202,0.4674,25.1847,26.6609,23.7085,60.6793,25.6527,25.441,7.3705,107.1108,7.7174,True
2012-07-17,29.71,30.05,29.37,26.2599884057,23897100.0,0.4562,0.0361,0.4923,25.31,26.7022,23.9179,63.6161,25.8159,25.5789,9.7765,121.4694,9.2893,True
2012-07-18,29.84,30.76,29.82,26.7690389831,24988700.0,0.4744,0.0725,0.5469,25.424,26.8996,23.9485,67.3988,26.0388,25.7384,7.2109,150.6389,12.8055,True
2012-07-19,30.6,31.11,30.56,27.0893897775,26180000.0,0.5013,0.1077,0.6089,25.5308,27.1562,23.9054,69.5345,26.3978,25.8995,9.0758,171.6243,14.4676,True
2012-07-20,30.66,30.83,30.1,26.4311347205,25013000.0,0.5206,0.0775,0.5981,25.6345,27.2112,24.0577,60.7701,26.4917,26.0167,7.8864,137.9967,11.6237,True
2012-07-23,29.53,29.8,29.11,26.0230165852,23403200.0,0.5266,0.0237,0.5502,25.7094,27.2085,24.2102,56.075,26.5145,26.0173,6.1165,89.7321,5.8672,True
2012-07-24,29.59,29.67,29.07,25.7289959931,23707500.0,0.5179,-0.0348,0.483,25.7862,27.1141,24.4584,52.9191,26.4083,25.9928,7.1384,79.9246,5.6433,False
2012-07-25,29.3,29.56,29.12,25.6807239556,22389100.0,0.4985,-0.0775,0.421,25.8515,27.0136,24.6894,52.4003,26.1907,25.9549,5.9963,77.7065,5.6433,False
2012-07-26,29.79,30.36,29.7,26.3302022784,26746600.0,0.4827,-0.0632,0.4194,25.9343,26.979,24.8897,58.294,26.0388,25.9748,6.9138,115.8623,9.5972,False
2012-07-27,30.3,30.84,30.04,27.0060108036,23852100.0,0.4796,-0.0123,0.4673,26.051,27.0249,25.077,63.3528,26.1538,26.0713,9.3535,142.1356,11.851,False
2012-07-30,30.69,31.0,30.4,26.8392528558,20919700.0,0.4809,0.0053,0.4862,26.0923,27.1246,25.0599,61.3843,26.317,26.1614,4.5562,144.5033,12.5897,True
2012-07-31,30.56,30.69,30.17,26.5057369603,20951600.0,0.4785,-0.0096,0.4689,26.1127,27.1607,25.0647,57.5523,26.4724,26.2322,3.198,123.3192,11.2271,False
2012-08-01,30.34,30.52,30.03,26.6110577694,17344400.0,0.4745,-0.0161,0.4583,26.1308,27.1998,25.0617,58.4304,26.6585,26.296,2.0102,114.1201,10.4,False
2012-08-02,29.87,30.4,29.74,26.2599884057,22103400.0,0.4629,-0.0461,0.4169,26.1422,27.2117,25.0728,54.4108,26.6444,26.3603,1.7788,96.0626,8.6973,False
2012-08-03,30.53,30.87,30.38,26.9621271331,17767200.0,0.4575,-0.0219,0.4356,26.2124,27.3034,25.1214,60.2678,26.6356,26.427,4.93,121.2394,10.9606,False
2012-08-06,30.92,31.25,30.78,27.2078756877,18658400.0,0.459,0.006,0.465,26.2984,27.4182,25.1787,62.094,26.7094,26.5136,6.6558,131.503,12.7391,True
2012-08-07,31.22,31.7,31.15,27.6467123923,21692700.0,0.4707,0.0469,0.5177,26.4085,27.6014,25.2156,65.158,26.9376,26.6061,7.3144,144.6131,14.7889,True
2012-08-08,31.34,31.81,31.07,27.3483034332,22436100.0,0.4824,0.0468,0.5292,26.4932,27.7004,25.2861,61.5342,27.085,26.6447,8.4925,133.527,15.2835,True
2012-08-09,31.16,31.55,31.15,27.5326148491,14578500.0,0.4953,0.0517,0.547,26.6051,27.7609,25.4494,62.8996,27.3395,26.6743,7.0762,128.0806,15.2835,True
2012-08-10,31.19,31.62,31.08,27.7432564674,13848800.0,0.5106,0.0609,0.5715,26.6942,27.9109,25.4776,64.4451,27.4958,26.7617,6.6262,126.2059,15.606,True
2012-08-13,31.45,31.55,31.2,27.523838115,14362100.0,0.5218,0.0448,0.5666,26.775,27.9868,25.5631,61.5821,27.5589,26.8618,6.0682,119.0354,15.606,True
2012-08-14,31.5,31.63,31.24,27.515061381,13806800.0,0.5285,0.0271,0.5557,26.8377,28.0662,25.6092,61.465,27.5326,26.9809,5.2579,117.0738,15.9839,True
2012-08-15,31.33,31.69,31.33,27.6905960628,16230100.0,0.5338,0.021,0.5548,26.8838,28.1665,25.6011,62.9728,27.6011,27.1148,3.0234,118.5622,16.2699,True
2012-08-16,31.64,32.21,31.54,28.1118792993,20333700.0,0.5433,0.038,0.5813,26.9349,28.3235,25.5464,66.3578,27.7169,27.2336,3.5358,131.9293,18.7088,True
2012-08-17,32.09,32.3,31.91,28.2610837788,20814500.0,0.5561,0.0513,0.6074,27.0264,28.5082,25.5447,67.4857,27.8205,27.3173,4.7681,136.9509,19.1235,True
2012-08-20,32.1,32.145,31.9,28.1206560334,11189200.0,0.5668,0.0429,0.6097,27.1313,28.611,25.6516,65.2787,27.9399,27.4027,7.8691,129.0896,19.0548,True
2012-08-21,32.02,32.27,31.72,27.8661307447,19673100.0,0.5703,0.014,0.5843,27.2382,28.6015,25.8748,61.3806,28.0101,27.4934,8.7631,121.3371,17.8126,True
2012-08-22,31.74,31.845,31.52,27.8222470742,18087900.0,0.5671,-0.0129,0.5542,27.3452,28.5267,26.1637,60.7109,28.0364,27.5742,7.73,108.512,16.4398,False
2012-08-23,31.56,31.75,31.31,27.7213146321,14201700.0,0.557,-0.0407,0.5163,27.4148,28.5097,26.3199,59.1212,27.9583,27.6716,4.5784,100.0042,15.0088,False
2012-08-24,31.34,32.0,31.25,28.0416654265,14811400.0,0.5468,-0.0406,0.5062,27.4666,28.5771,26.356,62.4635,27.9144,27.7435,3.7613,105.2687,16.2548,False
2012-08-27,32.07,32.07,31.75,27.9363446174,14708300.0,0.5343,-0.0501,0.4842,27.5214,28.6108,26.4321,60.7149,27.8775,27.7921,3.4516,109.2565,16.6029,False
2012-08-28,31.72,32.0,31.56,27.7169262651,15993500.0,0.5162,-0.0723,0.4439,27.582,28.5685,26.5954,57.1442,27.8477,27.7968,4.2685,98.5947,15.2801,False
2012-08-29,31.65,31.89,31.46,27.6379356583,15845300.0,0.4932,-0.0922,0.401,27.6333,28.5136,26.7531,55.8767,27.8108,27.8161,4.4889,91.2858,14.5844,False
2012-08-30,31.3,31.38,31.16,27.3588355141,17984700.0,0.4626,-0.1221,0.3405,27.6883,28.3212,27.0553,51.5481,27.7383,27.8045,3.2237,71.2603,12.5127,False
2012-08-31,31.46,31.76,31.13,27.7783634037,21240300.0,0.4346,-0.1119,0.3227,27.7291,28.2677,27.1904,56.9225,27.6857,27.8069,2.8831,81.9393,14.5038,False
2012-09-04,31.63,31.8,31.22,27.708149531,16654700.0,0.4076,-0.1081,0.2995,27.7541,28.2372,27.271,55.8123,27.64,27.8191,1.76,80.3147,14.7116,False
2012-09-05,31.65,32.11,31.605,28.1469862356,22994600.0,0.3887,-0.0758,0.3129,27.7791,28.2885,27.2697,60.9165,27.7261,27.8613,1.2934,97.3136,16.3146,False
