date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-28,55.38,56.75,55.34,47.5570366418,5011100.0,-0.077,-0.548,-0.471,50.4322,46.1683,48.3002,43.5884,47.5251,48.4209,-2.0538,-99.0754,10.9342,False
2012-06-29,58.45,60.09,58.01,50.4626934806,6630500.0,0.1226,-0.3178,-0.4403,50.6499,46.3545,48.5022,57.021,47.9501,48.5082,6.354,-17.3849,1.3855,True
2012-07-02,59.79,60.72,59.5,50.798607566,3930700.0,0.2667,-0.107,-0.3737,50.9563,46.4152,48.6857,58.2524,48.6286,48.6907,7.9851,6.3458,0.2613,True
2012-07-03,60.42,61.12,60.38,51.3024786941,2234500.0,0.3786,0.0996,-0.279,51.3537,46.3831,48.8684,60.09,49.4079,48.9001,7.3034,24.6879,1.2965,True
2012-07-05,60.53,60.891,60.09,50.613854819,3064800.0,0.3875,0.2053,-0.1821,51.545,46.3471,48.946,56.4515,50.1469,49.0871,4.2297,13.7243,0.5272,True
2012-07-06,59.54,59.54,58.23,49.0770478783,3313800.0,0.2763,0.1633,-0.1131,51.5188,46.3381,48.9284,49.3119,50.4509,49.1207,0.4895,-31.9403,4.2171,True
2012-07-09,58.24,58.4,57.69,48.5479831937,2936400.0,0.1594,0.0863,-0.0732,51.4915,46.3049,48.8982,47.114,50.068,49.0496,-0.8152,-52.74,5.5334,True
2012-07-10,58.14,58.65,56.72,47.8509614665,3341600.0,0.034,-0.0307,-0.0647,51.4961,46.2793,48.8877,44.3253,49.4785,48.9432,-0.5932,-66.6562,7.8468,True
2012-07-11,56.92,57.73,56.64,47.9769292485,2851200.0,-0.0378,-0.1119,-0.0741,51.4984,46.2585,48.8784,44.9562,48.8134,48.7921,-0.2074,-73.7103,8.0357,False
2012-07-12,56.66,57.51,56.23,48.0944991784,3765900.0,-0.0726,-0.1649,-0.0923,51.4922,46.2932,48.8927,45.5729,48.3095,48.6622,-0.3379,-77.6528,9.0078,False
