date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-13,31.57,31.7,31.226,23.1315958929,1660400.0,0.2062,-0.1066,0.3128,23.4279,23.9012,22.9547,51.9504,23.2941,23.4476,3.1615,72.7954,10.486,False
2012-02-14,31.17,31.3,30.87,23.0651045601,2734300.0,0.1703,-0.114,0.2843,23.4402,23.8592,23.0213,50.2694,23.2232,23.4084,0.436,55.5323,7.9531,False
2012-02-15,31.41,31.45,31.04,23.0355528566,1712100.0,0.1379,-0.1171,0.255,23.4339,23.8729,22.9949,49.5065,23.1538,23.3614,-0.2393,58.4731,8.8485,False
2012-02-16,31.35,31.82,31.3,23.3458457431,2244500.0,0.1357,-0.0954,0.2312,23.4189,23.8483,22.9894,56.8696,23.1419,23.3302,-1.0085,75.2797,11.0197,False
2012-02-17,31.66,31.775,31.44,23.2571906327,2048600.0,0.1254,-0.0846,0.21,23.4002,23.8236,22.9768,54.4394,23.1671,23.3111,-1.1485,72.4707,11.0197,False
2012-02-21,31.48,31.5,31.17,23.1315958929,1916500.0,0.1058,-0.0833,0.1892,23.3774,23.8071,22.9477,51.1235,23.1671,23.2983,-1.7923,56.897,9.0592,False
2012-02-22,31.34,31.47,31.215,23.1020441894,1861200.0,0.087,-0.0818,0.1687,23.3499,23.7761,22.9237,50.3504,23.1744,23.2865,-1.9312,54.3234,9.0592,False
2012-02-23,31.29,31.39,31.17,23.1389838188,1662700.0,0.0741,-0.0757,0.1498,23.3198,23.7152,22.9244,51.336,23.1951,23.2624,-2.4664,50.67,8.7283,False
2012-02-24,31.43,31.49,31.27,23.2128630775,4527400.0,0.0691,-0.0646,0.1337,23.2898,23.6157,22.9638,53.3217,23.1685,23.2535,-2.6349,55.025,9.3499,False
2012-02-27,31.21,31.46,31.13,23.072492486,1668300.0,0.0532,-0.0644,0.1176,23.2662,23.5835,22.949,49.2322,23.1316,23.218,-2.9059,45.1495,8.2997,False
2012-02-28,31.23,31.45,31.15,23.2128630775,2015600.0,0.0513,-0.053,0.1043,23.2607,23.5776,22.9438,53.0872,23.1478,23.203,-0.8199,47.9405,8.2997,False
2012-02-29,31.38,31.52,31.2,23.124207967,2332100.0,0.0422,-0.0497,0.0919,23.2529,23.5752,22.9307,50.4927,23.1523,23.1833,-1.0982,46.2838,8.7529,False
2012-03-01,31.57,32.04,31.47,23.3384578172,3497400.0,0.0517,-0.0322,0.0839,23.2448,23.5494,22.9403,56.0539,23.1922,23.1804,0.1876,70.4206,12.0367,False
2012-03-02,31.52,31.74,31.18,23.124207967,3246800.0,0.0414,-0.034,0.0754,23.2337,23.5389,22.9286,50.0323,23.1744,23.1616,-0.3141,47.3846,9.7957,False
2012-03-05,31.28,31.525,31.27,23.2202510033,1967800.0,0.0405,-0.0279,0.0684,23.2145,23.4679,22.9611,52.4839,23.204,23.1676,-2.3086,45.9733,9.7957,False
2012-03-06,31.25,31.49,31.0,22.9247339686,2085300.0,0.0158,-0.042,0.0579,23.1889,23.4503,22.9274,45.1766,23.1464,23.1538,-1.2543,26.3335,7.7211,False
2012-03-07,31.09,31.21,30.88,22.9912253014,2132900.0,0.0016,-0.045,0.0466,23.1674,23.4198,22.9151,46.9569,23.1198,23.1488,-1.8553,16.3142,6.8089,False
2012-03-08,31.23,31.35,31.13,23.124207967,3248100.0,0.001,-0.0365,0.0375,23.1545,23.3871,22.9219,50.4079,23.0769,23.1547,-1.5389,30.4333,7.7358,False
2012-03-09,31.38,31.55,31.2,23.2645785585,2540600.0,0.0118,-0.0206,0.0324,23.1475,23.3567,22.9382,53.8069,23.105,23.1493,-0.6299,41.8458,9.0501,False
2012-03-12,31.47,31.6,31.37,23.3089061137,1429800.0,0.0236,-0.007,0.0306,23.1563,23.3769,22.9358,54.8538,23.1227,23.1528,0.0,48.5185,9.3783,False
2012-03-13,31.76,31.89,31.54,23.5600955933,2036800.0,0.0526,0.0176,0.035,23.1778,23.4593,22.8962,60.3145,23.2498,23.1813,0.5994,71.454,11.2669,True
2012-03-14,31.8,31.89,31.64,23.4566646311,1673600.0,0.0665,0.0252,0.0413,23.1973,23.4986,22.8961,57.259,23.3429,23.205,1.885,69.3859,11.2669,True
2012-03-15,31.74,31.84,31.51,23.4714404828,2188400.0,0.0778,0.0292,0.0486,23.2191,23.5332,22.9051,57.5879,23.4123,23.2271,1.2401,63.1736,10.2022,True
2012-03-16,31.7,32.0,31.67,23.515768038,2988100.0,0.0894,0.0326,0.0568,23.2276,23.5634,22.8919,58.6115,23.4626,23.2473,0.5657,75.5985,11.2649,True
2012-03-19,31.74,31.975,31.57,23.5453197415,1651300.0,0.0997,0.0343,0.0654,23.242,23.6053,22.8788,59.3129,23.5099,23.2789,0.6294,71.481,10.4342,True
2012-03-20,31.8,31.85,31.69,23.5083801122,1780700.0,0.1037,0.0307,0.073,23.2609,23.638,22.8837,57.9966,23.4995,23.2986,1.1111,69.1159,10.4342,True
2012-03-21,31.85,32.11,31.77,23.6044231485,3733100.0,0.1134,0.0323,0.0811,23.286,23.6839,22.8882,60.4422,23.5291,23.3306,2.0337,88.6402,12.1969,True
2012-03-22,31.7,32.0,31.69,23.6118110743,707246.0,0.1202,0.0313,0.0889,23.3096,23.7255,22.8938,60.6311,23.5571,23.3488,1.9433,80.8064,11.5102,True
2012-03-23,31.92,31.98,31.66,23.4492767052,401971.0,0.1112,0.0179,0.0934,23.3215,23.7391,22.9038,54.4963,23.5438,23.3705,1.556,67.5328,11.2506,True
2012-03-26,32.0,32.24,31.92,23.7374058141,2101300.0,0.1259,0.026,0.0999,23.3547,23.7931,22.9163,61.8316,23.5823,23.4049,2.4793,111.7884,13.0354,True
2012-03-27,32.22,32.235,32.015,23.7152420365,1354000.0,0.1342,0.0275,0.1068,23.3798,23.8399,22.9198,61.0209,23.6236,23.4576,2.496,114.4224,13.0354,True
2012-03-28,32.1,32.14,31.85,23.6265869261,2054800.0,0.1321,0.0203,0.1118,23.4049,23.8613,22.9486,57.7743,23.6281,23.5,1.967,92.4135,11.5629,True
2012-03-29,31.66,31.91,31.26,23.1611475964,3746700.0,0.0919,-0.016,0.1078,23.3961,23.864,22.9282,44.4668,23.5379,23.5025,-0.4057,6.4665,6.517,False
2012-03-30,31.52,31.52,30.985,22.8951822651,3907100.0,0.0381,-0.0558,0.0939,23.3846,23.8884,22.8808,38.971,23.4271,23.4778,-0.6931,-63.0035,4.2813,False
2012-04-02,30.87,31.84,30.78,23.464052557,4526600.0,0.0408,-0.0424,0.0833,23.3968,23.8959,22.8978,52.4413,23.3724,23.4882,0.9992,-10.6891,6.6011,False
