date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-13,125.1599,125.94,123.5,125.0,909800.0,3.8808,-0.0382,3.919,131.2134,110.9596,121.0865,63.5381,125.312,123.0447,14.4285,129.4716,14.2892,False
2012-02-14,124.86,125.89,124.02,125.78,957800.0,3.801,-0.0945,3.8954,129.7736,114.3464,122.06,64.6991,125.188,123.2233,15.7503,126.5859,14.2892,False
2012-02-15,126.0,129.66,126.0,126.72,1692600.0,3.7701,-0.1003,3.8704,127.8224,118.1236,122.973,66.0931,125.452,123.506,18.6928,140.2526,17.1123,False
2012-02-16,126.97,127.83,125.28,127.45,1091400.0,3.7612,-0.0874,3.8485,128.3657,118.3253,123.3455,67.1718,125.792,123.948,4.2404,127.8452,16.3679,False
2012-02-17,127.41,127.98,124.59,124.92,1122100.0,3.5095,-0.2712,3.7807,128.435,118.721,123.578,60.0751,125.974,124.2653,5.3333,113.4333,15.6514,False
2012-02-21,125.45,127.64,124.31,125.42,1029200.0,3.3122,-0.3748,3.687,128.5695,119.0265,123.798,60.9487,126.058,124.62,4.4277,108.5408,15.3584,False
2012-02-22,125.0,126.79,123.565,126.58,1154800.0,3.2124,-0.3797,3.5921,128.8808,119.0632,123.972,62.9632,126.218,125.076,2.0114,103.1929,14.5727,False
2012-02-23,126.06,128.82,125.6,128.7,1073200.0,3.2667,-0.2603,3.527,129.5494,119.0166,124.283,66.361,126.614,125.4947,4.3077,116.9682,16.155,False
2012-02-24,129.98,130.27,126.96,127.48,984000.0,3.1748,-0.2818,3.4566,129.8061,119.4259,124.616,62.8082,126.62,125.9587,5.0395,116.7165,17.2682,False
2012-02-27,126.63,129.27,125.61,128.29,905600.0,3.1311,-0.2604,3.3915,130.023,120.022,125.0225,64.1727,127.294,126.1933,7.1891,107.9337,15.8124,False
2012-02-28,128.51,128.67,125.71,127.02,781500.0,2.96,-0.3452,3.3052,129.8937,120.8433,125.3685,60.4473,127.614,126.328,6.3388,98.7044,15.8124,False
2012-02-29,127.5,128.25,124.79,124.96,884400.0,2.6278,-0.5419,3.1697,129.3581,121.9009,125.6295,54.9076,127.29,126.232,5.8168,85.6679,14.8079,False
2012-03-01,125.74,127.6,125.03,127.33,1016200.0,2.5266,-0.5144,3.0411,129.3649,122.3851,125.875,59.4845,127.016,126.3607,3.3617,87.8546,14.8079,False
