date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-03-11,84.5,84.85,84.405,21.1725,273100.0,0.2564,0.1531,0.1034,20.4335,21.2925,19.5745,65.7269,21.101,20.5287,5.1686,254.8499,21.763,True
2013-03-12,84.61,84.81,84.07,21.175,304700.0,0.2707,0.1766,0.0941,20.4818,21.392,19.5715,65.7651,21.1065,20.59,4.6133,225.1751,20.2639,True
2013-03-13,84.97,84.98,84.44,21.2175,285800.0,0.2821,0.1977,0.0844,20.5359,21.4851,19.5867,66.4457,21.152,20.6597,5.0433,219.3765,20.7673,True
2013-03-14,85.0,85.29,84.74,21.3225,846700.0,0.2963,0.2174,0.0788,20.5951,21.5846,19.6057,68.1231,21.213,20.7562,5.6223,219.5777,21.6842,True
2013-03-15,84.96,85.68,84.88,21.3625,1044600.0,0.3072,0.2354,0.0718,20.6613,21.67,19.6525,68.7606,21.25,20.843,6.2632,213.1721,22.8268,True
2013-03-18,84.63,85.31,84.61,21.255,567900.0,0.3036,0.249,0.0546,20.7131,21.7319,19.6943,65.0168,21.2665,20.9335,5.386,179.477,21.578,True
2013-03-19,85.27,85.4299,84.51,21.27,391200.0,0.2986,0.2589,0.0396,20.7639,21.7875,19.7403,65.2993,21.2855,21.0055,4.9894,167.999,21.9364,True
2013-03-20,85.73,85.98,85.17,21.44,334000.0,0.3048,0.2681,0.0367,20.8273,21.8535,19.801,68.3977,21.33,21.0792,5.1036,183.317,23.5664,True
2013-03-21,85.0,85.46,84.93,21.3275,466800.0,0.2972,0.2739,0.0233,20.8999,21.849,19.9508,64.3253,21.331,21.1303,6.2143,154.6038,22.4322,True
2013-03-22,85.75,86.16,85.34,21.5225,359400.0,0.3034,0.2798,0.0236,20.973,21.8762,20.0698,67.8772,21.363,21.2068,7.3645,169.4436,24.488,True
2013-03-25,86.62,86.65,85.26,21.4275,321900.0,0.2973,0.2833,0.014,21.0495,21.8256,20.2734,64.5239,21.3975,21.255,6.7376,159.4128,25.8863,True
2013-03-26,86.38,86.78,85.8101,21.63,285000.0,0.3052,0.2877,0.0175,21.1215,21.8295,20.4135,68.1208,21.4695,21.2872,7.3744,168.2417,26.2547,True
2013-03-27,86.17,86.57,85.45,21.58,243300.0,0.304,0.291,0.013,21.1838,21.8195,20.548,66.3413,21.4975,21.3265,6.1037,149.5985,24.5111,True
2013-03-28,86.13,87.91,86.1,21.965,704500.0,0.3302,0.2988,0.0314,21.254,21.9087,20.5993,72.3089,21.625,21.3897,6.6222,181.7752,28.2604,True
2013-04-01,87.96,87.99,86.86,21.7525,327900.0,0.3301,0.3051,0.025,21.3229,21.875,20.7708,65.4469,21.671,21.428,7.122,170.1319,28.476,True
2013-04-02,87.32,87.49,86.74,21.7625,379900.0,0.327,0.3095,0.0176,21.3758,21.8817,20.8698,65.6114,21.738,21.4673,5.626,153.9301,27.8895,True
2013-04-03,87.09,87.09,85.54,21.4575,500400.0,0.2966,0.3069,-0.0103,21.3913,21.8871,20.8954,56.7762,21.7035,21.4862,2.9433,116.7788,22.2158,False
2013-04-04,86.03,86.51,85.81,21.56,358600.0,0.2775,0.301,-0.0235,21.4198,21.8847,20.9548,58.7751,21.6995,21.509,1.8004,112.3948,22.2158,False
2013-04-05,85.06,85.44,84.38,21.21,386900.0,0.2315,0.2871,-0.0556,21.4294,21.8678,20.9909,50.27,21.5485,21.5015,1.0168,68.5226,15.8801,False
2013-04-08,84.72,85.66,84.71,21.415,286900.0,0.2092,0.2715,-0.0624,21.4413,21.8643,21.0182,54.41,21.481,21.505,1.0499,79.6585,16.5569,False
2013-04-09,86.07,86.4,85.225,21.5575,411600.0,0.2006,0.2573,-0.0567,21.4605,21.8677,21.0533,57.0717,21.44,21.5252,1.8268,94.4416,18.7918,False
2013-04-10,86.21,88.39,86.1,22.0875,593100.0,0.234,0.2527,-0.0187,21.5061,21.9749,21.0373,65.1741,21.566,21.5797,4.2212,136.6167,24.334,False
2013-04-11,88.25,88.77,87.944,22.0975,494800.0,0.2582,0.2538,0.0044,21.5501,22.0652,21.035,65.3064,21.6735,21.6235,4.4599,149.3297,25.3237,True
2013-04-12,87.86,88.08,87.28,21.9575,445000.0,0.2631,0.2556,0.0074,21.5819,22.1149,21.0489,61.7838,21.823,21.6655,3.2712,126.0183,22.477,True
2013-04-15,87.51,87.81,85.7,21.4275,470500.0,0.2216,0.2488,-0.0272,21.5851,22.1135,21.0567,50.6929,21.8255,21.6592,2.486,86.8572,16.0958,False
2013-04-16,86.01,87.53,85.545,21.87,523700.0,0.2219,0.2434,-0.0215,21.6159,22.1354,21.0964,57.5151,21.888,21.6887,2.6023,95.2898,15.4954,False
2013-04-17,87.07,87.07,86.04,21.685,531800.0,0.2048,0.2357,-0.0309,21.6366,22.1318,21.1415,54.1585,21.8075,21.6923,1.9198,85.9979,15.4954,False
2013-04-18,86.86,87.16,85.6,21.5,365800.0,0.1744,0.2235,-0.0491,21.6396,22.1307,21.1486,50.9712,21.688,21.687,1.3724,73.9013,13.7684,False
2013-04-19,85.58,87.44,85.411,21.83,544800.0,0.1749,0.2137,-0.0389,21.6648,22.1405,21.189,55.9282,21.6625,21.678,2.3169,83.6328,14.5949,False
2013-04-22,87.49,87.88,86.37,21.9175,319400.0,0.1802,0.207,-0.0268,21.6845,22.1678,21.2012,57.1587,21.7605,21.689,1.9963,96.0287,15.8832,False
2013-04-23,87.9,88.5,87.23,22.0675,441200.0,0.1943,0.2045,-0.0102,21.7165,22.2121,21.2209,59.2485,21.8,21.7093,2.135,110.9178,17.6631,False
2013-04-24,88.23,89.4,87.95,22.3325,390200.0,0.2243,0.2085,0.0159,21.7516,22.3129,21.1903,62.6932,21.9295,21.7677,3.0191,130.3711,20.1572,True
2013-04-25,89.8,90.41,89.43,22.5425,584200.0,0.262,0.2192,0.0428,21.7998,22.4517,21.1478,65.1915,22.138,21.8332,4.4357,154.4304,22.825,True
2013-04-26,90.29,90.61,89.93,22.5325,504600.0,0.2877,0.2329,0.0549,21.8281,22.5518,21.1045,64.9695,22.2785,21.9213,3.0713,155.0527,23.3408,True
