date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-02-15,22.73,22.91,22.46,9.10107229554,7994600.0,0.2753,-0.017,0.2923,8.8989,9.3469,8.4508,68.389,9.1423,8.988,8.3728,123.9927,35.3294,False
2013-02-19,22.48,22.72,22.41,9.12934904036,9363100.0,0.2641,-0.0225,0.2866,8.9377,9.3197,8.5557,69.1563,9.139,9.0071,8.6042,115.7086,34.7054,False
2013-02-20,22.72,22.89,22.55,9.11117113298,11734600.0,0.2509,-0.0286,0.2795,8.9719,9.2801,8.6637,68.0191,9.1273,9.0245,9.7315,114.3627,35.7301,False
2013-02-21,22.5,22.6,22.18,9.01220252612,13205200.0,0.2299,-0.0397,0.2696,8.9891,9.2643,8.7138,62.0658,9.1023,9.0333,3.5747,96.7064,31.1738,False
2013-02-22,22.45,22.95,22.33,9.26265369449,12015200.0,0.2307,-0.0311,0.2618,9.0137,9.2942,8.7332,69.3414,9.1233,9.0646,5.0343,108.646,33.3268,False
2013-02-25,22.93,23.06,22.43,9.06067694581,10316800.0,0.2126,-0.0394,0.252,9.0198,9.2988,8.7407,59.4836,9.1152,9.0729,4.1554,100.4885,33.9868,False
2013-02-26,22.47,22.66,22.19,9.07279555073,6511700.0,0.197,-0.044,0.241,9.0313,9.2989,8.7637,59.8505,9.1039,9.0947,1.7969,88.4802,31.1071,False
2013-02-27,22.45,23.27,22.44,9.3838397437,11171600.0,0.2073,-0.0269,0.2342,9.058,9.3531,8.7628,67.856,9.1584,9.1236,5.9895,108.0614,34.7329,False
2013-02-28,23.08,23.75,23.07,9.46866997814,11280000.0,0.2198,-0.0115,0.2313,9.0874,9.4205,8.7543,69.6257,9.2497,9.1548,7.7586,122.3289,37.3705,False
2013-03-01,23.4,23.76,23.21,9.56561881751,8640200.0,0.2348,0.0028,0.232,9.126,9.4914,8.7606,71.544,9.3103,9.1936,7.4627,123.2993,37.4241,True
2013-03-04,23.52,24.025,23.52,9.67670602928,10145500.0,0.2528,0.0166,0.2362,9.1631,9.589,8.7371,73.5917,9.4335,9.2303,8.172,130.3731,38.8342,True
2013-03-05,24.0,24.41,24.0,9.77567463614,11072700.0,0.2718,0.0285,0.2433,9.2146,9.6739,8.7552,75.289,9.5741,9.2723,10.6026,139.9271,40.805,True
2013-03-06,24.36,24.57,24.15,9.90493975529,9179200.0,0.294,0.0406,0.2535,9.2622,9.7946,8.7299,77.3282,9.6783,9.3214,10.6258,142.5135,41.6003,True
2013-03-07,24.6499,24.72,24.41,9.96351301241,8719300.0,0.3127,0.0474,0.2653,9.3104,9.9094,8.7115,78.2015,9.7773,9.3764,10.7527,143.9961,42.3388,True
2013-03-08,24.81,24.91,24.485,9.92513743016,8264400.0,0.3207,0.0443,0.2764,9.3575,9.9932,8.7218,76.1426,9.8492,9.4276,11.704,140.8587,43.2631,True
2013-03-11,24.55,24.7,24.37,9.8887816154,10075600.0,0.3204,0.0352,0.2852,9.3957,10.062,8.7293,74.1607,9.8916,9.4801,8.8585,130.7436,41.8634,True
