date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-06,37.54,38.32,37.51,30.2615274218,3586300.0,-0.2227,-0.0434,0.1793,32.3661,31.3141,30.262,41.4386,30.6843,31.2295,-3.8635,6.9985,5.6364,False
2012-03-07,37.83,38.28,37.83,30.5952942684,2091800.0,-0.1975,-0.0676,0.1299,32.3596,31.2676,30.1755,46.0162,30.5715,31.1802,-3.0394,20.7481,6.6617,False
2012-03-08,38.42,38.65,38.19,30.8996453632,1872100.0,-0.1531,-0.0615,0.0916,32.312,31.2276,30.1432,49.8465,30.529,31.1411,-3.2931,32.6312,8.1143,False
2012-03-09,38.58,39.01,38.54,31.1479317827,2667700.0,-0.1023,-0.0363,0.066,32.2358,31.1916,30.1475,52.7751,30.6141,31.0794,-2.1007,43.7344,9.5077,False
2012-03-12,38.8,39.04,38.55,30.9477007993,1484500.0,-0.0784,-0.032,0.0464,32.2175,31.1711,30.1247,50.2402,30.7704,31.0012,-0.9899,39.3897,9.6239,False
2012-03-13,38.79,39.43,38.73,31.5724214676,2042100.0,-0.0199,0.0215,0.0414,32.2372,31.1802,30.1233,57.1246,31.0326,30.9768,-0.1516,55.9108,11.1318,False
2012-03-14,39.37,39.96,39.0,31.2760796121,2876300.0,-0.0015,0.0395,0.041,32.2329,31.1773,30.1217,53.3717,31.1688,30.9523,1.9074,60.5747,13.1349,False
2012-03-15,39.18,39.87,39.03,31.868763323,2263000.0,0.0476,0.1005,0.0529,32.2871,31.1965,30.1059,59.1259,31.3626,30.9932,0.3574,69.3738,13.1349,True
2012-03-16,39.93,39.97,39.64,31.796680169,2274100.0,0.0708,0.1414,0.0706,32.2348,31.1827,30.1306,58.1901,31.4923,31.0547,-0.5581,78.2886,13.5153,True
2012-03-19,39.52,40.42,39.44,32.2692252899,3344600.0,0.1111,0.2095,0.0984,32.2702,31.1901,30.1099,62.3728,31.7566,31.1494,-0.2267,91.1186,15.2143,True
2012-03-20,39.96,40.0697,39.6,32.0770035458,2938500.0,0.1174,0.2451,0.1277,32.2979,31.197,30.0962,59.7669,31.8576,31.1915,-0.7755,83.5192,15.2143,True
2012-03-21,40.02,40.29,40.0,32.1490866998,2211900.0,0.1186,0.276,0.1574,32.3844,31.2222,30.0601,60.4311,32.0322,31.2575,0.5856,95.5051,16.0493,True
2012-03-22,39.81,40.17,39.68,31.8927910411,2231400.0,0.0954,0.2766,0.1812,32.4526,31.2541,30.0557,56.8553,32.037,31.3095,0.7853,81.117,14.3853,True
2012-03-23,39.82,39.995,39.6663,31.9728834344,1558000.0,0.0793,0.2803,0.2011,32.5332,31.3091,30.085,57.6935,32.0722,31.3929,2.1518,78.8233,14.3139,True
2012-03-26,40.2,40.44,40.09,32.38936388,1312500.0,0.0898,0.3133,0.2235,32.6768,31.3861,30.0954,61.8253,32.0962,31.5411,3.8939,106.3102,16.0442,True
2012-03-27,40.43,40.6,40.33,32.3413084439,1675600.0,0.0865,0.3317,0.2451,32.7872,31.4309,30.0745,61.0878,32.1491,31.6797,3.0701,113.8851,16.6595,True
2012-03-28,40.33,40.53,39.86,32.1330682212,2422000.0,0.0644,0.3257,0.2612,32.8631,31.4796,30.096,57.8818,32.1459,31.7823,2.7113,96.7391,14.16,True
2012-03-29,39.88,40.09,39.67,32.0449665885,2356900.0,0.0392,0.3103,0.271,32.9199,31.5262,30.1326,56.5368,32.1763,31.8586,2.3944,79.4591,13.1632,True
2012-03-30,40.24,40.56,39.96,32.3573269226,2125800.0,0.0388,0.3196,0.2807,32.9952,31.608,30.2207,60.0621,32.2532,31.9392,4.0961,108.1152,15.0296,True
2012-04-02,40.39,40.46,39.83,31.9568649558,2424800.0,0.0084,0.2913,0.2828,32.9227,31.6975,30.4723,54.0411,32.1667,32.0065,5.5598,89.7145,14.3383,True
2012-04-03,39.81,39.9999,38.97,31.3001073301,3624000.0,-0.0556,0.2134,0.269,32.8027,31.7494,30.6961,45.9475,31.9585,31.9884,5.2036,28.1031,9.8955,False
2012-04-04,38.78,38.79,38.28,30.9877469959,2598600.0,-0.1152,0.125,0.2402,32.7476,31.769,30.7905,42.6895,31.7294,31.9691,1.3323,-48.0026,6.5185,False
2012-04-05,38.48,38.83,38.421,31.0678393893,1575200.0,-0.1435,0.0607,0.2043,32.7285,31.7775,30.8265,43.7846,31.534,31.9158,0.4657,-45.4368,6.6875,False
2012-04-09,38.29,38.3,37.88,30.467146439,2326300.0,-0.194,-0.0382,0.1558,32.8223,31.7434,30.6646,37.9566,31.1559,31.8271,-1.82,-116.9386,4.0984,False
2012-04-10,37.95,38.23,37.52,30.1227491475,2018600.0,-0.2389,-0.1428,0.0961,32.9495,31.7022,30.4549,35.0876,30.7891,31.684,-2.0748,-154.1947,2.4164,False
2012-04-11,37.97,38.285,37.87,30.383049426,1845400.0,-0.2387,-0.2023,0.0364,33.0161,31.6427,30.2693,38.8317,30.6057,31.5711,-2.9039,-136.9103,2.6607,False
2012-04-12,38.07,38.975,37.872,31.0998763467,2496200.0,-0.1807,-0.1895,-0.0088,33.0188,31.6339,30.249,47.7276,30.6281,31.5011,-2.465,-82.3038,5.6742,False
2012-04-13,38.75,38.88,38.04,30.467146439,1868200.0,-0.1752,-0.2278,-0.0526,33.0334,31.5638,30.0943,41.9568,30.508,31.4061,-2.4831,-110.6958,5.6742,False
2012-04-16,38.22,38.52,37.85,30.3790448063,1833900.0,-0.1677,-0.2622,-0.0945,33.0451,31.4929,29.9407,41.2134,30.4904,31.2998,-3.6277,-131.1825,4.7507,False
2012-04-17,38.21,38.75,38.11,30.9477007993,2518200.0,-0.117,-0.2408,-0.1238,32.9536,31.4269,29.9001,47.6304,30.6554,31.2037,-4.1316,-79.927,5.7645,False
2012-04-18,38.27,38.52,38.07,30.7474698158,1870000.0,-0.0908,-0.2372,-0.1464,32.8838,31.3604,29.8369,45.7465,30.7282,31.0975,-3.8675,-96.2808,5.5658,False
2012-04-19,38.4,38.85,38.02,30.6593681831,2874500.0,-0.0739,-0.2388,-0.1649,32.7934,31.2859,29.7784,44.9091,30.6401,30.9992,-3.5741,-86.2602,7.0313,False
2012-04-20,38.32,38.45,37.75,30.2829339343,3630100.0,-0.0819,-0.2673,-0.1854,32.7462,31.2054,29.6646,41.4368,30.6033,30.8818,-4.2818,-123.3153,5.6669,False
2012-04-23,37.44,37.46,36.95,29.8103888134,2703900.0,-0.1111,-0.3243,-0.2132,32.7094,31.0973,29.4852,37.5336,30.4896,30.712,-6.3383,-197.1572,1.7581,False
2012-04-24,37.49,37.78,37.275,30.0026105575,2897600.0,-0.1094,-0.3499,-0.2405,32.5424,30.9779,29.4134,39.997,30.3006,30.5817,-6.5776,-157.3115,3.2145,False
2012-04-25,37.9,37.95,37.355,30.2989524129,2506200.0,-0.0815,-0.3424,-0.2609,32.334,30.8758,29.4176,43.6665,30.2109,30.5149,-6.5271,-131.2179,3.9834,False
2012-04-26,37.78,38.57,37.78,30.7394605765,1651500.0,-0.0292,-0.2974,-0.2682,32.1457,30.8061,29.4665,48.6664,30.2269,30.4984,-4.8359,-76.4686,6.7319,False
2012-04-27,38.54,39.11,38.34,31.2120056974,2451200.0,0.0377,-0.2211,-0.2588,31.9948,30.7645,29.5342,53.4182,30.4127,30.508,-2.4445,-21.4213,9.0381,True
2012-04-30,38.91,39.04,38.79,31.2200149367,2040800.0,0.0805,-0.1582,-0.2387,31.7248,30.7076,29.6904,53.4964,30.6946,30.5582,-3.7475,-8.5401,9.0381,True
2012-05-01,39.15,39.31,38.86,31.2680703727,1422500.0,0.1084,-0.1032,-0.2116,31.5568,30.6732,29.7896,53.9928,30.9477,30.6345,-2.8423,5.292,10.1864,True
2012-05-02,38.8,39.08,38.65,31.2280241761,1864000.0,0.1195,-0.0622,-0.1817,31.5434,30.6696,29.7957,53.4831,31.1335,30.6909,-2.2998,-10.0238,9.097,True
2012-05-03,38.76,39.11,38.12,30.5952942684,2177500.0,0.0815,-0.0798,-0.1613,31.5119,30.65,29.788,46.114,31.1047,30.6572,0.825,-50.5474,6.3972,True
2012-05-04,38.0,38.12,37.39,30.0346475148,1740000.0,0.0191,-0.1374,-0.1565,31.4775,30.5983,29.7191,40.7797,30.8692,30.6284,-1.8285,-123.9802,2.8326,True
2012-05-07,37.53,37.6599,37.2,29.9865920788,1232500.0,-0.0226,-0.1848,-0.1622,31.492,30.5743,29.6566,40.3511,30.6225,30.6022,-1.6713,-140.7887,1.9288,False
2012-05-08,37.12,37.57,36.69,29.9946013181,1946400.0,-0.0456,-0.2192,-0.1736,31.4997,30.5679,29.636,40.4628,30.3678,30.5387,-1.7264,-151.554,0.4595,False
2012-05-09,36.62,37.27,36.29,29.706268702,3785700.0,-0.0745,-0.2667,-0.1922,31.5368,30.534,29.5313,37.7358,30.0635,30.4693,-2.6512,-173.9657,2.2857,False
2012-05-10,37.37,37.37,36.5516,29.7383056593,3186800.0,-0.0848,-0.2983,-0.2134,31.4904,30.4659,29.4415,38.2314,29.8921,30.4079,-4.118,-154.0845,1.8108,False
2012-05-11,37.03,37.72,36.88,29.8984904461,1250000.0,-0.0747,-0.3068,-0.2321,31.4914,30.4375,29.3836,40.7575,29.8649,30.3822,-2.9835,-123.9618,0.1558,False
2012-05-14,37.0,37.31,36.76,29.7863610953,1196700.0,-0.0695,-0.319,-0.2495,31.4993,30.4079,29.3164,39.5446,29.8248,30.3806,-3.1412,-137.5306,0.7185,False
2012-05-15,37.19,37.36,36.58,29.5540931546,2065200.0,-0.0751,-0.3434,-0.2683,31.4604,30.3382,29.216,37.0946,29.7367,30.3507,-3.5871,-144.2692,1.5648,False
2012-05-16,37.1,37.13,36.235,29.113584991,3452600.0,-0.1004,-0.3938,-0.2934,31.4809,30.2565,29.0321,32.9468,29.6182,30.2717,-3.6085,-168.3119,3.1735,False
2012-05-17,36.51,36.51,35.66,28.5769659554,2689500.0,-0.1425,-0.4715,-0.329,31.5622,30.1524,28.7426,28.7508,29.3859,30.1276,-6.0232,-207.8563,5.7833,False
2012-05-18,35.82,35.82,35.0,28.1044208345,3300400.0,-0.1886,-0.5648,-0.3762,31.7094,30.0435,28.3775,25.6667,29.0271,29.9204,-6.8401,-241.6994,8.6571,False
2012-05-21,35.06,35.95,35.06,28.7291415028,1629700.0,-0.1643,-0.5816,-0.4173,31.7496,29.9894,28.2292,35.4715,28.8156,29.7543,-4.031,-202.4231,7.9972,False
2012-05-22,35.96,36.05,35.51,28.6730768275,2625300.0,-0.1403,-0.5926,-0.4523,31.7742,29.9229,28.0717,35.0272,28.6394,29.5813,-4.5791,-178.7918,7.4866,False
2012-05-23,34.25,35.76,34.25,28.5769659554,3874800.0,-0.1198,-0.6021,-0.4823,31.7685,29.8368,27.9051,34.2396,28.5321,29.4046,-5.7708,-202.9513,12.7712,False
2012-05-24,35.79,36.17,35.3,28.8332616142,3225000.0,-0.08,-0.5823,-0.5023,31.6738,29.7415,27.8092,38.2094,28.5834,29.2871,-6.2225,-155.5821,10.6791,False
2012-05-25,35.91,36.38,35.78,28.9854371616,1825800.0,-0.0366,-0.548,-0.5114,31.4648,29.6302,27.7955,40.4946,28.7596,29.2172,-6.9803,-130.5041,9.6198,False
2012-05-29,36.56,36.92,36.36,29.5540931546,2553300.0,0.0336,-0.4695,-0.503,31.2303,29.5469,27.8635,48.1693,28.9246,29.1883,-5.4303,-89.3887,6.9433,True
2012-05-30,36.37,36.4,35.9,29.1936773844,2265900.0,0.0573,-0.4314,-0.4887,30.9342,29.4432,27.9521,44.2902,29.0287,29.1349,-6.6343,-102.4587,7.6317,True
