date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-14,50.52,51.43,50.5,31.9911586131,2433000.0,-0.1324,0.0652,0.1977,30.7785,32.1861,29.371,59.6301,31.3861,30.6648,4.353,97.6427,13.5378,True
2012-03-15,50.8,52.08,50.78,32.7680416356,3439500.0,-0.0661,0.199,0.2652,30.8697,32.5233,29.2162,64.7372,31.8825,30.805,4.0883,129.4897,15.1621,True
2012-03-16,51.79,52.05,51.22,32.8375189791,2253100.0,0.0085,0.3071,0.2986,30.9111,32.7116,29.1106,65.1596,32.2021,30.9835,2.38,133.206,15.1621,True
2012-03-19,51.93,52.56,51.74,33.0712154981,2116200.0,0.0882,0.4069,0.3187,30.9803,32.989,28.9715,66.6012,32.523,31.1566,2.7968,150.0417,16.436,True
2012-03-20,52.04,52.81,51.835,33.2796475286,2780500.0,0.17,0.4971,0.3272,31.1217,33.348,28.8955,67.8715,32.7895,31.3094,7.1631,154.2783,17.0569,True
2012-03-21,52.82,52.93,52.36,33.2733314064,2652100.0,0.2483,0.5616,0.3133,31.2601,33.6538,28.8664,67.7878,33.046,31.4901,9.1453,156.4225,17.3566,True
2012-03-22,52.38,52.74,52.065,33.020686521,2630900.0,0.3158,0.5856,0.2698,31.3779,33.8725,28.8832,64.3844,33.0965,31.6669,8.1846,135.4404,16.3059,True
2012-03-23,52.41,52.92,52.03,33.3996538491,1738500.0,0.3782,0.628,0.2498,31.5399,34.1165,28.9632,67.0436,33.2089,31.8829,8.0441,140.0434,16.7683,True
2012-03-26,53.0,54.11,52.99,34.1575885053,2431000.0,0.4455,0.7144,0.269,31.724,34.4894,28.9586,71.5892,33.4262,32.1811,10.9949,180.7128,19.7491,True
2012-03-27,54.13,55.03,53.84,34.3849689022,3382900.0,0.5148,0.7922,0.2774,31.8939,34.867,28.9208,72.7953,33.6472,32.4804,11.6227,199.7508,21.9469,True
2012-03-28,54.95,55.15,53.55,34.1386401389,2288300.0,0.5767,0.8244,0.2477,32.0726,35.1329,29.0123,69.3768,33.8203,32.7508,11.8661,181.7993,20.8857,True
2012-03-29,53.63,54.19,53.26,34.1702207496,2050400.0,0.6299,0.8428,0.2129,32.2628,35.3481,29.1774,69.5731,34.0502,33.0097,10.886,158.2863,19.8252,True
2012-03-30,54.35,54.82,53.91,34.3723366579,1518400.0,0.6767,0.8637,0.187,32.4734,35.5308,29.416,70.854,34.2448,33.2186,13.5695,173.5832,21.3495,True
2012-04-02,54.21,54.95,53.91,34.5302397113,1480300.0,0.7179,0.8829,0.1649,32.7156,35.6147,29.8165,71.8461,34.3193,33.4228,15.1992,172.5733,21.662,True
2012-04-03,54.57,54.79,53.73,34.0754789176,1981400.0,0.7447,0.8515,0.1069,32.9247,35.5719,30.2775,65.017,34.2574,33.5647,15.396,153.0949,20.9851,True
2012-04-04,53.65,53.87,52.8,33.5638730246,2350900.0,0.751,0.7765,0.0255,33.0987,35.4126,30.7848,58.3336,34.1424,33.6696,12.6752,113.9522,17.5485,True
2012-04-05,52.91,53.74,52.85,33.8923113756,1246300.0,0.7478,0.735,-0.0128,33.279,35.22,31.338,61.0851,34.0868,33.7445,11.8884,115.7342,17.5485,False
2012-04-09,53.04,53.49,52.61,33.6522987345,1604700.0,0.7333,0.675,-0.0583,33.3997,35.1041,31.6952,58.082,33.9428,33.7988,7.9516,100.4824,16.664,False
2012-04-10,53.24,53.425,51.86,32.8817318341,2270900.0,0.6984,0.5588,-0.1395,33.4704,34.9509,31.9899,49.6805,33.6131,33.7862,6.9355,71.203,13.9397,False
2012-04-11,52.54,53.56,52.432,33.6017697574,2599800.0,0.6625,0.5189,-0.1436,33.5531,34.8584,32.2479,56.0459,33.5184,33.8077,5.7662,92.4475,14.306,False
2012-04-12,53.5,54.19,52.67,33.9365242306,1921800.0,0.6317,0.5084,-0.1233,33.6504,34.7492,32.5516,58.6513,33.5929,33.8519,5.3665,106.8601,16.0027,False
2012-04-13,53.72,53.75,52.72,33.298595895,1677800.0,0.594,0.4434,-0.1506,33.6769,34.713,32.6408,52.3192,33.4742,33.8704,3.2066,85.2275,16.0027,False
2012-04-16,52.91,53.13,52.14,33.2733314064,1496300.0,0.5523,0.3855,-0.1668,33.6987,34.6802,32.7173,52.0806,33.3984,33.862,2.0749,66.7223,13.8563,False
2012-04-17,52.98,53.945,52.844,33.7786211772,1524200.0,0.5171,0.376,-0.141,33.7341,34.6726,32.7956,56.3464,33.5778,33.8367,2.6351,92.8355,16.0754,False
2012-04-18,53.19,53.63,52.41,33.7849372994,2199400.0,0.4866,0.3648,-0.1218,33.7594,34.6745,32.8442,56.3984,33.6144,33.7967,1.5527,80.434,14.4784,False
2012-04-19,53.49,54.51,52.93,33.7091438337,1720100.0,0.4585,0.3459,-0.1126,33.7811,34.6693,32.893,55.5479,33.5689,33.7681,2.9851,92.3954,16.8376,False
2012-04-20,53.5,53.6,52.48,33.2417507958,1853100.0,0.4247,0.2898,-0.135,33.7922,34.6471,32.9373,50.5149,33.5576,33.7062,1.6306,64.8383,15.1852,False
2012-04-23,52.29,52.3,51.31,32.7743577578,1474900.0,0.3808,0.2052,-0.1756,33.7609,34.7114,32.8105,46.0449,33.4578,33.5997,-1.1716,25.7882,11.0331,False
2012-04-24,51.99,52.29,51.24,32.6101385823,1654400.0,0.3294,0.1236,-0.2058,33.6836,34.7384,32.6287,44.5606,33.2241,33.4717,-3.3635,21.7581,10.7901,False
2012-04-25,52.4,53.22,52.27,33.6017697574,1654600.0,0.291,0.1373,-0.1537,33.6444,34.6492,32.6396,54.128,33.1874,33.4401,-3.2891,61.7809,13.3521,False
2012-04-26,53.42,55.43,53.42,34.8081490852,5189500.0,0.2813,0.2427,-0.0386,33.6779,34.7856,32.5701,62.5518,33.4072,33.523,0.5077,118.5132,18.9753,False
2012-04-27,52.88,53.0,51.28,33.0270026432,4668600.0,0.2611,0.1804,-0.0807,33.6207,34.7389,32.5026,48.4712,33.3643,33.4653,-2.196,33.0766,11.8287,False
2012-04-30,52.27,52.37,51.83,32.9291027501,1945700.0,0.2332,0.1218,-0.1115,33.5486,34.6495,32.4476,47.837,33.3952,33.4171,-4.4692,29.7608,11.8287,False
2012-05-01,52.21,52.85,51.85,32.9891059104,1628200.0,0.2024,0.0792,-0.1232,33.4715,34.5002,32.4428,48.2814,33.471,33.4243,-3.8217,35.9327,13.0404,False
2012-05-02,51.85,52.07,51.33,32.7554093914,2017300.0,0.1672,0.0263,-0.1409,33.4055,34.4401,32.3709,46.6241,33.3018,33.3679,-4.9644,16.578,11.3545,False
2012-05-03,51.89,51.89,50.59,32.0985326893,2395700.0,0.1202,-0.0678,-0.188,33.3322,34.5093,32.1551,42.2559,32.7598,33.2453,-3.6755,-5.8633,9.0018,False
2012-05-04,50.46,50.62,49.605,31.4921849644,2114000.0,0.0583,-0.1892,-0.2475,33.2122,34.6059,31.8185,38.6725,32.4529,33.1249,-5.8057,-41.3882,5.9712,False
2012-05-07,49.53,49.91,49.4,31.4100753766,1871600.0,-0.0111,-0.2886,-0.2776,33.1001,34.6822,31.5181,38.2025,32.1491,33.0007,-6.6928,-52.1603,5.3512,False
2012-05-08,49.3,50.13,48.82,31.5174494529,2995000.0,-0.0798,-0.3547,-0.2749,33.0319,34.7569,31.3069,39.2372,31.8547,32.8499,-6.1675,-54.5986,3.6072,False
2012-05-09,49.13,50.37,48.93,31.5995590407,2596600.0,-0.143,-0.3959,-0.2529,32.9318,34.7431,31.1204,40.0595,31.6236,32.7042,-5.9559,-50.1637,4.2741,False
2012-05-10,50.07,50.38,49.55,31.801674949,3107800.0,-0.1959,-0.4075,-0.2116,32.825,34.6386,31.0115,42.1252,31.5642,32.5771,-6.38,-32.7145,5.281,False
2012-05-11,49.94,50.55,49.89,31.820755954,3850900.0,-0.2388,-0.4104,-0.1716,32.7512,34.6015,30.9008,42.3263,31.6299,32.4824,-5.2952,-27.5111,5.7568,False
2012-05-14,49.48,50.14,49.15,31.788954279,1921300.0,-0.2732,-0.4106,-0.1374,32.6769,34.5564,30.7974,42.0653,31.7057,32.4167,-4.9671,-41.3739,3.456,False
2012-05-15,49.9,50.29,49.5,31.5727028894,2062100.0,-0.3032,-0.4233,-0.1201,32.5666,34.4335,30.6998,40.2572,31.7167,32.3475,-6.1228,-39.2815,3.887,False
2012-05-16,48.83,48.91,47.08,29.963538137,4243900.0,-0.3539,-0.5568,-0.2029,32.3756,34.4726,30.2786,29.9821,31.3895,32.1049,-8.1627,-111.7934,3.2035,False
2012-05-17,47.11,47.48,46.24,29.4101889928,2854600.0,-0.423,-0.6992,-0.2762,32.1606,34.5303,29.7909,27.405,30.9112,31.7451,-12.287,-145.446,5.4807,False
