date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-16,10.48,10.48,10.31,8.87268947156,7929100.0,-0.0884,-0.09,-0.0015,9.4217,10.0104,8.833,39.1599,8.9804,9.3621,-4.9002,-97.0355,11.8756,False
2012-07-17,10.42,10.47,10.25,8.88551745633,10582700.0,-0.086,-0.109,-0.023,9.3956,10.0291,8.7622,39.5458,8.9257,9.3311,-5.3345,-97.2297,12.5542,False
2012-07-18,10.34,10.69,10.34,9.13352516204,11226900.0,-0.0639,-0.1029,-0.039,9.3745,10.0133,8.7357,46.5666,8.9445,9.3137,-4.9778,-60.097,9.4124,False
2012-07-19,10.69,10.84,10.57,9.14635314682,12960400.0,-0.0455,-0.096,-0.0504,9.3379,9.94,8.7358,46.9083,9.0001,9.2889,-6.4307,-35.183,7.335,False
2012-07-20,10.68,10.73,10.46,8.98814133456,11763300.0,-0.0413,-0.102,-0.0607,9.3097,9.9217,8.6977,43.2532,9.0052,9.2558,-8.2906,-57.5705,8.6288,False
2012-07-23,10.32,10.55,10.215,8.97103735485,10927400.0,-0.037,-0.107,-0.07,9.2778,9.8907,8.665,42.8663,9.0249,9.2014,-6.8021,-82.7176,11.4298,False
2012-07-24,10.46,10.5,10.26,8.87696546648,10328000.0,-0.0377,-0.1171,-0.0794,9.2541,9.8901,8.6182,40.72,9.0232,9.1501,-5.6604,-88.1347,11.4298,False
2012-07-25,10.41,10.66,10.38,8.95393337515,15145300.0,-0.0306,-0.1176,-0.0871,9.2321,9.8775,8.5867,43.2126,8.9873,9.093,-3.6166,-62.4512,9.1695,False
2012-07-26,10.7,10.785,10.51,9.09931720264,11533600.0,-0.0144,-0.1051,-0.0907,9.2111,9.8451,8.5771,47.666,8.9779,9.0543,-3.6623,-31.2241,7.4381,False
2012-07-27,10.72,10.94,10.61,9.31739294387,10893100.0,0.0112,-0.0767,-0.0879,9.2028,9.8265,8.5791,53.5236,9.0437,9.046,-1.5302,8.8495,5.3315,True
