date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2015-04-02,93.7,94.42,93.1,84.0091208237,2145674.0,0.7235,0.3557,1.0792,76.6653,80.9906,85.3158,60.9387,83.8111,81.5496,2.43,181.1847,10.9916,True
2015-04-06,93.46,96.0,93.13,85.3560498155,2563700.0,0.8254,0.4075,1.2329,76.4904,81.2145,85.9385,64.6381,84.1233,82.0146,4.4046,209.611,14.2677,True
2015-04-07,95.64,96.78,95.14,85.9804539839,4233017.0,0.9381,0.451,1.3891,76.3068,81.4642,86.6217,66.2268,84.4747,82.4594,6.3984,234.9424,15.8231,True
2015-04-08,95.46,96.16,94.66,85.7574524952,2652113.0,1.046,0.4317,1.4778,76.5267,81.8246,87.1225,65.1075,84.9118,82.8935,7.7388,225.0265,16.6338,True
2015-04-09,95.4,95.66,94.68,86.073002415,1952209.0,1.148,0.4077,1.5556,77.0424,82.2543,87.4661,65.9792,85.4352,83.2244,8.7579,208.13,16.6338,True
2015-04-10,95.45,95.47,94.53,85.3697768794,2158015.0,1.2269,0.3159,1.5428,77.4808,82.589,87.6972,62.2649,85.7073,83.5524,9.2794,183.7239,16.207,True
2015-04-13,94.34,94.88,93.44,84.28789144,2443882.0,1.2673,0.1616,1.4289,78.1115,82.8844,87.6572,56.9777,85.4937,83.7315,8.7149,145.9076,13.1471,True
2015-04-14,93.57,94.22,93.22,84.5763942238,2087008.0,1.2831,0.0632,1.3463,78.6182,83.1478,87.6774,57.9968,85.2129,83.9263,6.8803,133.8832,12.5389,True
2015-04-15,94.27,94.5,94.01,84.8919441436,2094737.0,1.2848,0.0067,1.2915,79.2156,83.4301,87.6446,59.1312,85.0398,84.2688,7.4633,140.6875,13.1432,True
2015-04-16,93.91,94.22,93.67,84.8017870237,1934824.0,1.2732,-0.0465,1.2266,79.5006,83.6147,87.7287,58.6463,84.7856,84.6767,4.2479,127.5904,12.186,False
2015-04-17,93.29,93.41,92.16,83.2961631206,2647838.0,1.2269,-0.1852,1.0417,79.9019,83.757,87.6121,51.1426,84.3708,84.6298,3.3629,86.7582,8.057,False
2015-04-20,92.99,93.56,92.62,84.0895457761,3294388.0,1.1711,-0.2229,0.9483,80.1542,83.8814,87.6086,54.4342,84.3312,84.6494,3.1787,96.4907,8.3976,False
2015-04-21,93.91,94.0,92.865,83.8461215522,1949793.0,1.1059,-0.2611,0.8448,80.406,83.991,87.576,53.2548,84.1851,84.6243,3.5227,96.0625,9.3988,False
2015-04-22,93.34,93.63,92.755,84.188718608,1896224.0,1.041,-0.2595,0.7815,81.2005,84.2127,87.2249,54.7337,84.0445,84.6654,3.4365,91.2589,9.0956,False
2015-04-23,93.38,94.27,92.85,84.6034413598,2165463.0,0.984,-0.228,0.756,82.884,84.5087,86.1334,56.518,84.0048,84.7419,5.9265,97.5936,10.562,False
2015-04-24,93.29,93.82,92.64,84.206750032,2250827.0,0.9264,-0.2305,0.6958,82.9048,84.519,86.1333,54.3235,84.1869,84.755,-0.1621,84.4537,9.97,False
2015-04-27,94.03,94.4,93.53,84.5313156639,2156362.0,0.8744,-0.2078,0.6666,82.9761,84.5559,86.1356,55.8271,84.2753,84.7001,1.3515,96.5716,11.3038,False
2015-04-28,93.6,94.49,92.74,85.1263526555,1976294.0,0.8363,-0.1526,0.6836,83.0103,84.601,86.1917,58.5098,84.5313,84.6431,0.6993,92.4807,9.0657,False
2015-04-29,94.25,94.41,92.91,84.4321428319,1701872.0,0.7957,-0.162,0.6337,83.1219,84.644,86.1662,54.3814,84.58,84.5548,0.9868,83.1345,9.0657,False
2015-04-30,93.23,93.86,92.13,83.5305716324,1804775.0,0.7397,-0.2242,0.5155,83.1369,84.6477,86.1586,49.5195,84.3654,84.3853,0.997,59.6525,6.8715,False
