date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-10-16,32.17,32.92,31.75,26.5785785606,3551800.0,-0.3819,-0.335,-0.047,26.8624,25.7302,27.9947,43.6991,26.1697,26.6285,-4.3023,-99.172,8.622,False
2012-10-17,32.46,32.7175,32.37,26.4889786942,1868900.0,-0.3589,-0.3398,-0.0192,26.7936,25.7498,27.8375,42.524,26.2462,26.6179,-4.8907,-96.0338,8.622,False
2012-10-18,32.514,32.53,31.7,25.8373433019,3143000.0,-0.3888,-0.3496,-0.0392,26.6914,25.6945,27.6883,35.1576,26.1925,26.5531,-5.2156,-140.2799,12.4274,False
2012-10-19,31.76,31.79,31.145,25.535961933,2255900.0,-0.4318,-0.366,-0.0658,26.5806,25.5871,27.5741,32.3782,26.1338,26.4776,-7.6141,-178.6459,15.3955,False
2012-10-22,31.3011,31.51,31.05,25.4870892786,1532600.0,-0.4645,-0.3857,-0.0788,26.4804,25.4703,27.4905,31.9395,25.9856,26.3901,-7.3508,-183.2061,15.8917,False
2012-10-23,31.05,31.78,31.0,25.7721797627,1867000.0,-0.4621,-0.401,-0.0611,26.4275,25.3859,27.469,37.2531,25.8243,26.2962,-6.4469,-162.6531,13.9599,False
2012-10-24,31.74,31.8,31.37,25.6662890115,2225700.0,-0.4633,-0.4134,-0.0499,26.3784,25.2915,27.4653,36.1306,25.6598,26.2028,-3.4022,-149.6435,13.817,False
2012-10-25,31.68,31.87,31.35,25.5848345874,1594900.0,-0.4655,-0.4239,-0.0417,26.3171,25.1969,27.4373,35.255,25.6093,26.1078,-3.7451,-143.7549,13.3112,False
2012-10-26,31.43,31.8,31.3599,25.8454887443,1891800.0,-0.4412,-0.4273,-0.0139,26.276,25.1499,27.402,40.2217,25.6712,26.0252,-3.4608,-132.8302,13.3112,False
2012-10-31,31.76,31.91,31.275,25.5283052172,1830700.0,-0.4424,-0.4303,-0.012,26.2125,25.0683,27.3566,36.5646,25.6794,25.9357,-3.7986,-133.1652,12.4987,False
2012-11-01,31.47,32.51,31.37,26.4726878094,2084700.0,-0.3629,-0.4169,0.0539,26.177,25.1141,27.2399,50.8272,25.8195,25.9378,-3.0999,-90.3808,8.1953,True
2012-11-02,32.45,32.51,31.95,26.1794518829,1987200.0,-0.3199,-0.3975,0.0775,26.1326,25.1511,27.1142,47.29,25.9222,25.9427,-3.0756,-82.5782,8.1953,True
2012-11-05,31.97,32.46,31.77,26.3830879429,2931600.0,-0.2664,-0.3713,0.1049,26.1013,25.1969,27.0057,49.885,26.0818,25.9612,-2.6978,-79.1769,9.2721,True
2012-11-06,32.55,33.335,32.46,27.0039335629,2021900.0,-0.1718,-0.3314,0.1595,26.0973,25.2097,26.9849,56.8279,26.3135,26.0395,-0.3438,-30.7033,3.2835,True
2012-11-07,32.77,32.77,32.02,26.1550155556,1909600.0,-0.1635,-0.2978,0.1343,26.0615,25.247,26.876,47.2399,26.4388,26.0346,-1.3516,-70.0085,5.9202,True
2012-11-08,32.15,32.46,31.88,25.9921067076,1502400.0,-0.1682,-0.2719,0.1037,26.0391,25.243,26.8351,45.6561,26.3427,25.9955,-1.3973,-80.5294,6.7428,True
2012-11-09,31.08,31.49,30.37,24.9413446376,5153500.0,-0.2537,-0.2682,0.0145,25.9808,25.0533,26.9083,37.0676,26.0951,25.8923,-3.048,-151.0551,14.9043,True
2012-11-12,30.61,30.7894,30.0,24.7214176927,3625500.0,-0.3354,-0.2817,-0.0537,25.9116,24.8368,26.9863,35.5672,25.7628,25.8179,-5.0003,-170.629,16.7204,False
2012-11-13,30.19,30.52,29.9916,24.5422179599,2944300.0,-0.4098,-0.3073,-0.1025,25.8472,24.6175,27.077,34.3532,25.2704,25.7517,-5.5547,-172.7039,16.7615,False
2012-11-14,30.21,30.53,29.82,24.363018227,3102700.0,-0.4778,-0.3414,-0.1364,25.754,24.3796,27.1284,33.1413,24.912,25.6768,-5.3333,-172.7406,17.6045,False
2012-11-15,29.9,30.02,29.52,24.1186549549,2513000.0,-0.5451,-0.3821,-0.1629,25.631,24.1386,27.1234,31.5168,24.5373,25.5665,-8.8092,-185.513,19.0619,False
