date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-11-20,22.76,22.99,22.67,19.3690481697,458600.0,-0.077,0.0229,-0.0999,19.1959,18.66,19.7318,51.7827,19.1483,19.2146,-1.626,-56.9191,9.2882,True
2012-11-21,23.0,23.38,22.7722,19.6470727846,833600.0,-0.0342,0.0525,-0.0868,19.2225,18.6534,19.7915,56.2365,19.2629,19.2354,1.6522,-11.291,5.6972,True
2012-11-23,23.32,23.485,23.2218,19.7228976795,226900.0,0.0058,0.074,-0.0682,19.2519,18.6446,19.8592,57.3866,19.3876,19.2247,3.0496,24.6338,4.7547,True
2012-11-26,23.31,23.72,23.22,19.8745474695,941400.0,0.0492,0.0939,-0.0448,19.2936,18.6376,19.9497,59.6585,19.5712,19.2584,3.7634,47.3116,2.6712,True
2012-11-27,23.65,23.67,23.345,19.7060477029,377700.0,0.0691,0.0911,-0.022,19.3206,18.6436,19.9976,56.098,19.6639,19.2618,3.4528,41.3154,2.6712,True
2012-11-28,23.28,23.46,23.13,19.7144726912,366100.0,0.0847,0.0853,-0.0007,19.3442,18.6471,20.0413,56.2379,19.733,19.282,2.6247,18.5404,4.469,True
2012-11-29,23.55,23.64,23.4,19.7565976329,268500.0,0.0992,0.0799,0.0193,19.3653,18.6454,20.0851,56.9726,19.7549,19.3578,3.0065,46.7967,2.8515,True
2012-11-30,23.47,23.66,23.23,19.8913974461,557300.0,0.1203,0.0808,0.0395,19.3657,18.6446,20.0867,59.3142,19.7886,19.4308,0.127,48.2953,4.275,True
2012-12-03,23.65,23.66,23.3096,19.7565976329,295600.0,0.1246,0.0681,0.0565,19.3851,18.6441,20.126,56.0462,19.765,19.473,0.0423,45.3404,4.275,True
2012-12-04,23.44,23.62,23.213,19.8745474695,409800.0,0.136,0.0636,0.0724,19.396,18.6333,20.1587,58.205,19.7987,19.5241,1.243,47.3628,5.0923,True
2012-12-05,23.59,23.59,23.39,19.8408475162,354000.0,0.1407,0.0546,0.0861,19.4175,18.6304,20.2045,57.3428,19.824,19.5684,-0.2537,54.9147,5.0923,True
2012-12-06,23.56,23.74,23.35,19.9840723178,534100.0,0.1542,0.0545,0.0997,19.4857,18.7525,20.2189,60.0383,19.8695,19.6291,3.6681,73.0137,3.6709,True
2012-12-07,23.72,23.73,23.47,19.9082474228,324500.0,0.157,0.0458,0.1112,19.5413,18.8588,20.2238,57.9609,19.8729,19.683,5.3262,75.7485,3.6709,True
