date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Upper Band,Real Lower Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-05-03,3.47,3.8,3.47,3.6,87328700.0,0.0764,0.1164,0.1929,3.3386,2.0314,2.685,81.6961,3.146,2.7247,64.5022,518.7981,22.8816,True
2013-05-06,3.72,3.75,3.53,3.61,51378200.0,0.1077,0.125,0.2328,3.5016,1.9704,2.736,81.8269,3.332,2.8053,43.6782,440.6974,22.8816,True
2013-05-07,3.65,3.669,3.44,3.54,35339500.0,0.1373,0.1184,0.2558,3.6211,1.9419,2.7815,77.6649,3.476,2.8787,39.5057,351.4974,20.2387,True
2013-05-08,3.54,3.85,3.47,3.83,57017200.0,0.1687,0.1254,0.294,3.7933,1.8917,2.8425,81.7787,3.598,2.974,44.7368,358.1393,23.5994,True
2013-05-09,3.91,3.99,3.83,3.86,47232300.0,0.1995,0.1235,0.323,3.945,1.874,2.9095,82.1433,3.688,3.064,55.2529,361.9077,26.0503,True
2013-05-10,3.79,3.97,3.79,3.95,30586600.0,0.2295,0.1198,0.3493,4.0922,1.8738,2.983,83.2222,3.758,3.1627,58.8,319.1599,24.8863,True
2013-05-13,3.95,4.22,3.94,4.17,54889400.0,0.2603,0.1231,0.3834,4.2601,1.8829,3.0715,85.5144,3.87,3.2767,71.1968,322.5802,29.0507,True
2013-05-14,4.31,4.32,4.18,4.26,53292800.0,0.2908,0.1221,0.4129,4.4204,1.9046,3.1625,86.3329,4.014,3.392,77.0492,308.1522,30.6155,True
2013-05-15,4.29,4.42,4.26,4.38,39347300.0,0.3208,0.1201,0.4409,4.5743,1.9487,3.2615,87.3536,4.124,3.51,78.9474,286.834,32.1376,True
2013-05-16,3.9,3.94,3.66,3.83,80221500.0,0.3394,0.0745,0.414,4.615,2.04,3.3275,63.9127,4.118,3.5867,53.9063,172.7781,16.5386,True
2013-05-17,3.93,4.095,3.9,4.07,33952700.0,0.353,0.0543,0.4073,4.6705,2.1445,3.4075,67.9355,4.142,3.682,63.8,189.4843,19.0491,True
