date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-19,23.27,23.915,23.27,20.6358443237,1061600.0,-0.4867,-0.0649,-0.4218,20.278,21.6831,23.0881,32.8496,20.9337,21.3918,-7.1983,-191.6848,22.6582,False
2012-04-20,23.51,23.795,23.44,20.750390001,1422700.0,-0.4895,-0.0542,-0.4353,20.1866,21.5958,23.005,35.0509,20.916,21.2867,-7.0145,-173.3397,22.6582,False
2012-04-23,23.26,23.35,23.08,20.4860538226,1019900.0,-0.5072,-0.0575,-0.4497,20.0682,21.4967,22.9251,32.4229,20.842,21.1657,-8.8603,-193.7747,24.4214,False
2012-04-24,23.32,23.41,23.16,20.5036762345,879000.0,-0.5139,-0.0514,-0.4625,20.0212,21.3826,22.7439,32.7829,20.6817,21.06,-9.6836,-176.0526,23.9425,False
2012-04-25,23.58,23.695,23.25,20.5212986464,908400.0,-0.5119,-0.0395,-0.4724,20.004,21.2742,22.5444,33.1643,20.5795,20.9607,-8.725,-154.2927,21.68,False
2012-04-26,23.29,23.6,23.22,20.7239563832,2235700.0,-0.4883,-0.0127,-0.4756,20.0023,21.1932,22.3841,37.5324,20.5971,20.8931,-8.5626,-142.4875,21.8328,False
2012-04-27,23.3,23.51,22.63,20.1512279967,2744300.0,-0.5099,-0.0275,-0.4824,19.9308,21.0843,22.2379,31.332,20.4772,20.7968,-7.368,-166.2373,24.7672,False
2012-04-30,22.77,22.77,22.27,19.789968553,1950800.0,-0.5499,-0.054,-0.4959,19.8158,20.9588,22.1018,28.1852,20.338,20.7104,-10.7059,-190.1378,26.4798,False
2012-05-01,22.21,22.69,22.15,19.6489892578,1858900.0,-0.5862,-0.0722,-0.514,19.6817,20.8367,21.9918,27.0493,20.1671,20.6341,-10.4578,-186.1957,27.0428,False
2012-05-02,22.23,22.23,21.86,19.4463315211,1602200.0,-0.6241,-0.0881,-0.536,19.534,20.7085,21.8831,25.4685,19.9521,20.5307,-11.4695,-194.7437,28.3905,False
2012-05-03,22.04,22.52,22.01,19.5344435806,1522300.0,-0.6397,-0.0829,-0.5567,19.4172,20.5984,21.7796,27.4438,19.7142,20.415,-9.2301,-171.3747,26.0231,False
2012-05-04,21.97,22.08,21.53,19.146750519,1122700.0,-0.6755,-0.095,-0.5805,19.2279,20.4759,21.7239,24.3957,19.5133,20.3022,-10.426,-186.7174,28.25,False
2012-05-07,21.6,21.77,21.4,19.1291281071,921300.0,-0.6973,-0.0934,-0.6039,19.0336,20.3781,21.7226,24.2645,19.3811,20.1871,-9.8177,-183.5204,28.84,False
2012-05-08,21.49,21.79,21.32,19.1203169011,1627100.0,-0.7071,-0.0826,-0.6245,18.8586,20.2944,21.7302,24.1947,19.2754,20.0414,-8.9047,-173.4297,29.2043,False
2012-05-09,21.55,21.76,21.43,18.988148812,1190000.0,-0.7173,-0.0742,-0.6431,18.6894,20.194,21.6985,23.1266,19.1838,19.9051,-9.294,-163.9866,29.2043,False
2012-05-10,21.7,21.825,21.48,18.988148812,1000000.0,-0.7171,-0.0592,-0.6579,18.573,20.0799,21.5867,23.1266,19.0745,19.7953,-10.0371,-152.6465,28.6508,False
2012-05-11,21.37,21.67,21.36,18.8471695168,904600.0,-0.72,-0.0497,-0.6703,18.4247,19.9803,21.5359,21.9405,19.0146,19.6684,-10.083,-150.5565,29.22,False
2012-05-14,21.18,21.37,20.86,18.5740221325,1124100.0,-0.7359,-0.0525,-0.6834,18.2507,19.8662,21.4817,19.8294,18.9036,19.5409,-10.5109,-158.8781,31.5344,False
2012-05-15,21.03,21.38,20.9608,18.6004557504,1430100.0,-0.7378,-0.0435,-0.6943,18.168,19.7309,21.2939,20.6213,18.7996,19.414,-11.7987,-148.5112,31.447,False
2012-05-16,21.2,21.28,20.94,18.5563997206,1390100.0,-0.7345,-0.0321,-0.7023,18.0844,19.6071,21.1298,20.2639,18.7132,19.283,-11.7745,-143.7143,31.5432,False
2012-05-17,20.97,21.0425,20.55,18.168706659,1658100.0,-0.7544,-0.0416,-0.7127,17.9154,19.4838,21.0522,17.4173,18.5494,19.1127,-11.7116,-149.6214,33.0145,False
2012-05-18,20.58,20.76,20.295,18.0184059227,2013200.0,-0.7734,-0.0485,-0.7249,17.768,19.3472,20.9264,16.457,18.3836,18.9705,-12.4576,-152.2222,34.165,False
2012-05-21,20.45,20.98,20.3909,18.54003789,1033000.0,-0.7378,-0.0104,-0.7275,17.7245,19.2499,20.7753,30.6703,18.3768,18.8872,-9.8438,-134.0969,32.1732,False
2012-05-22,20.96,21.09,20.7,18.5223554505,1476700.0,-0.703,0.0196,-0.7226,17.7089,19.1508,20.5927,30.482,18.3612,18.8121,-9.6034,-123.8361,31.183,True
2012-05-23,20.78,21.28,20.61,18.8141157034,1429600.0,-0.6444,0.0625,-0.7069,17.7628,19.0655,20.3681,37.2902,18.4127,18.7699,-9.8861,-113.9645,29.479,True
2012-05-24,21.32,21.4,21.09,18.8494805825,1452200.0,-0.5883,0.0949,-0.6832,17.9129,18.9717,20.0305,38.0778,18.5489,18.7242,-9.0132,-101.6984,28.4078,True
2012-05-25,21.24,21.52,21.24,18.8406393627,871300.0,-0.5384,0.1158,-0.6542,17.9957,18.9062,19.8167,37.9501,18.7133,18.7038,-8.1527,-94.9271,27.3364,True
2012-05-29,21.46,21.89,21.46,19.2384942531,878500.0,-0.4614,0.1543,-0.6157,18.0468,18.8786,19.7104,46.5847,18.853,18.7111,-3.5373,-78.2721,24.0899,True
2012-05-30,21.59,21.66,21.3,19.0749316871,842200.0,-0.4089,0.1654,-0.5743,18.0899,18.8499,19.6099,43.8942,18.9635,18.7081,-4.2143,-83.2678,24.9315,True
2012-05-31,21.53,21.565,21.22,18.8583218023,1317600.0,-0.3804,0.1552,-0.5355,18.1113,18.8205,19.5298,40.5696,18.9724,18.6994,-2.661,-85.9718,25.3524,True
2012-06-01,20.93,21.59,20.86,18.7610683847,1888800.0,-0.3614,0.1393,-0.5007,18.1527,18.7819,19.411,39.1434,18.9547,18.6843,-3.8031,-88.8876,27.2196,True
2012-06-04,21.3,21.45,20.97,18.663814967,1215800.0,-0.3502,0.1204,-0.4706,18.1497,18.7577,19.3657,37.7225,18.9193,18.6721,-2.5223,-87.7195,27.2196,True
2012-06-05,21.02,21.58,20.95,18.8981072913,1483600.0,-0.3188,0.1215,-0.4402,18.1584,18.7462,19.3339,43.0576,18.8512,18.6937,-0.5351,-79.8218,26.0422,True
2012-06-06,21.54,21.69,21.44,19.1014553464,2297600.0,-0.2743,0.1328,-0.407,18.1598,18.7452,19.3306,47.2591,18.8566,18.7271,-0.1199,-66.0516,25.0463,True
2012-06-07,21.88,22.02,21.285,18.8671630221,2767800.0,-0.255,0.1217,-0.3766,18.1615,18.7392,19.3168,43.3138,18.8583,18.7478,1.5396,-64.9545,22.103,True
2012-06-08,21.24,21.33,21.15,18.6991798462,1819600.0,-0.2504,0.101,-0.3514,18.1583,18.7247,19.2911,40.7035,18.8459,18.7832,-1.9351,-76.7194,22.8584,True
