date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-05,38.11,38.37,37.97,38.2,161200.0,-0.1503,0.1234,0.2737,39.8633,38.7588,37.6542,49.514,38.326,38.5213,-3.2038,45.0724,3.1499,False
2012-03-06,37.84,37.86,37.46,37.6,174200.0,-0.1803,0.0484,0.2286,39.8391,38.6683,37.4974,43.5188,38.142,38.3833,-3.9817,15.6364,5.0341,False
2012-03-07,37.75,38.14,37.54,37.99,82600.0,-0.1668,0.0202,0.1869,39.7295,38.5918,37.454,47.9112,38.052,38.3273,-3.9488,29.1173,3.9054,False
2012-03-08,38.19,39.0,37.9644,38.64,135700.0,-0.1098,0.0497,0.1595,39.6431,38.557,37.4709,54.2627,38.116,38.3367,-2.133,63.5064,0.5312,False
2012-03-09,38.49,39.48,38.49,39.34,138900.0,-0.0252,0.128,0.1532,39.5171,38.532,37.5469,59.904,38.354,38.3587,-1.003,91.1928,1.2883,False
2012-03-12,39.16,40.04,38.9745,39.98,213100.0,0.0687,0.2391,0.1704,39.7005,38.5685,37.4365,64.2263,38.71,38.468,1.3671,116.6798,3.3633,True
2012-03-13,40.12,40.95,39.96,40.95,215900.0,0.1843,0.4007,0.2164,40.101,38.6325,37.164,69.5557,39.38,38.6553,2.5031,160.4812,6.6077,True
2012-03-14,40.76,41.13,40.59,40.89,246200.0,0.2412,0.518,0.2767,40.5035,38.7355,36.9675,68.8757,39.96,38.8533,3.9949,166.0516,7.2342,True
2012-03-15,40.89,41.41,40.662,41.28,198200.0,0.2867,0.6351,0.3484,40.9559,38.8745,36.7931,70.8598,40.488,39.038,5.557,170.3335,8.2082,True
2012-03-16,41.2,41.2,40.9,41.045,237100.0,0.2819,0.7008,0.4189,41.263,38.9763,36.6895,68.0588,40.829,39.1983,4.2642,160.89,8.2082,True
2012-03-19,40.85,41.48,40.77,40.98,135800.0,0.2562,0.7392,0.4829,41.5335,39.1083,36.683,67.2708,41.029,39.355,5.9515,156.0663,9.1943,True
2012-03-20,40.75,40.77,40.44,40.62,113800.0,0.1993,0.7321,0.5328,41.7,39.2323,36.7645,62.9458,40.963,39.495,5.1877,129.2954,7.8062,True
2012-03-21,40.68,40.79,40.41,40.48,165400.0,0.1394,0.707,0.5676,41.8079,39.3603,36.9126,61.3036,40.881,39.631,7.0885,122.4673,7.6797,True
2012-03-22,40.14,40.67,39.71,40.47,125300.0,0.0887,0.6785,0.5898,41.9188,39.4583,36.9977,61.1815,40.719,39.7743,5.4501,105.8236,4.7618,True
2012-03-23,40.36,40.78,40.24,40.55,181500.0,0.052,0.6548,0.6028,42.0281,39.5538,37.0794,61.8333,40.62,39.9343,5.2116,113.4124,5.1724,True
2012-03-26,41.0,41.46,40.82,41.46,92000.0,0.0789,0.7014,0.6225,42.264,39.6953,37.1265,68.3176,40.716,40.1517,6.7731,142.7687,7.675,True
2012-03-27,41.61,41.88,41.41,41.58,119300.0,0.0936,0.7395,0.6459,42.4825,39.8483,37.214,69.0603,40.908,40.417,8.0217,154.7914,9.1805,True
2012-03-28,41.55,41.83,41.36,41.64,129100.0,0.0958,0.7657,0.6699,42.6695,40.0083,37.347,69.444,41.14,40.6603,8.0599,148.9367,8.9654,True
2012-03-29,41.43,41.78,41.11,41.52,120500.0,0.0784,0.7679,0.6895,42.7887,40.1683,37.5478,67.6463,41.35,40.8523,7.3208,137.6664,7.8846,True
2012-03-30,41.81,41.81,41.18,41.18,130200.0,0.0354,0.7337,0.6983,42.8027,40.3198,37.8368,62.7174,41.476,40.975,8.4847,129.4823,7.996,True
2012-04-02,41.14,41.79,40.89,41.45,248200.0,0.0175,0.7202,0.7027,42.8095,40.4823,38.155,64.8938,41.474,41.073,8.9132,124.1941,6.7275,True
2012-04-03,41.35,41.68,40.85,41.2,183700.0,-0.017,0.6814,0.6984,42.5931,40.6623,38.7314,61.3414,41.398,41.0897,10.0898,114.0845,6.552,False
2012-04-04,40.77,40.95,40.16,40.61,123500.0,-0.0818,0.5962,0.678,42.2872,40.7933,39.2993,53.883,41.192,41.071,7.3676,80.3545,3.5638,False
2012-04-05,40.53,40.75,40.33,40.37,60300.0,-0.1396,0.5035,0.6431,42.0245,40.8798,39.735,51.1714,40.962,41.0103,4.4872,73.7081,3.5638,False
2012-04-09,39.9,39.9,39.5,39.81,272100.0,-0.2101,0.3804,0.5906,41.9343,40.9033,39.8722,45.4528,40.688,40.928,1.0638,35.2306,0.0725,False
2012-04-10,39.7,39.92,38.4914,38.62,210000.0,-0.3246,0.1848,0.5094,42.2197,40.8353,39.4508,36.2336,40.122,40.7707,-0.2997,-4.6119,3.9298,False
2012-04-11,38.85,38.85,38.36,38.5,195600.0,-0.3917,0.0198,0.4115,42.4287,40.7128,38.9968,35.4565,39.582,40.6293,-5.1282,-32.5481,4.4361,False
2012-04-12,38.46,38.98,38.46,38.67,174500.0,-0.4061,-0.0961,0.31,42.5314,40.6018,38.6721,37.4912,39.194,40.5087,-5.2273,-29.53,3.8852,False
2012-04-13,38.59,38.75,38.0,38.07,107900.0,-0.4349,-0.2337,0.2012,42.6345,40.4413,38.248,33.498,38.734,40.3487,-6.4236,-58.1908,5.6757,False
2012-04-16,38.34,38.51,37.9,38.1,128800.0,-0.4301,-0.3364,0.0937,42.6913,40.294,37.8967,33.8753,38.392,40.1853,-6.5291,-66.4807,6.0625,False
2012-04-17,38.41,39.36,38.4,39.12,198800.0,-0.3403,-0.3317,0.0086,42.6288,40.201,37.7732,45.2011,38.492,40.0293,-5.1109,-20.6808,2.4311,False
2012-04-18,38.84,39.19,37.99,38.0,223800.0,-0.3378,-0.4136,-0.0758,42.6699,40.07,37.4701,37.6204,38.392,39.7907,-3.8754,-56.9466,4.0427,False
2012-04-19,38.04,38.04,37.28,37.46,437800.0,-0.3522,-0.5161,-0.1639,42.7469,39.919,37.0911,34.621,38.15,39.512,-6.7418,-107.496,6.7551,False
2012-04-20,37.5,38.2,37.402,37.95,216900.0,-0.3101,-0.5515,-0.2414,42.7338,39.793,36.8522,39.3242,38.126,39.274,-6.0733,-92.4835,6.068,False
2012-04-23,37.33,37.51,36.67,37.3,233200.0,-0.3067,-0.6247,-0.3181,42.7403,39.6305,36.5207,35.6765,37.966,39.0153,-8.0186,-134.4852,8.7989,False
2012-04-24,37.26,37.47,37.04,37.18,154100.0,-0.2932,-0.6846,-0.3914,42.5818,39.4165,36.2512,35.0337,37.578,38.7307,-9.6237,-128.5439,8.7989,False
2012-04-25,37.67,38.17,36.47,37.87,185800.0,-0.2218,-0.6686,-0.4468,42.3008,39.231,36.1612,41.5245,37.552,38.5087,-8.8586,-110.9123,5.758,False
2012-04-26,37.72,37.76,36.86,37.16,717400.0,-0.2067,-0.7051,-0.4985,41.9937,39.007,36.0203,37.4044,37.492,38.2787,-9.7299,-124.4543,5.758,False
2012-04-27,36.95,37.69,36.41,37.65,479100.0,-0.1505,-0.6866,-0.5361,41.6199,38.8135,36.0071,41.683,37.432,38.0973,-9.7894,-119.8548,7.4773,False
2012-04-30,37.45,38.85,37.45,38.79,457500.0,-0.0298,-0.5734,-0.5436,41.2822,38.694,36.1058,50.1727,37.73,38.0293,-7.0796,-51.8007,2.572,False
2012-05-01,38.65,39.76,38.65,39.16,254000.0,0.076,-0.4486,-0.5246,40.8534,38.5795,36.3056,52.5736,38.126,38.0653,-4.8576,-2.743,1.0315,True
