date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-17,28.49,28.64,28.17,21.3903664544,2257200.0,0.2432,0.0471,0.2902,20.6949,20.0658,21.324,63.9974,20.9919,20.6841,3.6008,165.4735,17.6847,True
2012-02-21,28.28,28.31,27.62,20.981198977,1967400.0,0.2504,0.0291,0.2795,20.7019,20.0634,21.3404,56.6976,21.074,20.723,2.1505,124.0735,13.8275,True
2012-02-22,27.72,28.24,27.72,21.3070175238,2905100.0,0.2591,0.0348,0.294,20.7221,20.0357,21.4086,60.5379,21.2016,20.7981,2.1173,130.2911,13.8275,True
2012-02-23,28.015,28.33,27.9,21.3752121034,2001100.0,0.2688,0.0386,0.3074,20.7548,20.0117,21.498,61.3074,21.3174,20.8573,2.406,134.0055,14.3028,True
2012-02-24,28.26,28.46,28.12,21.4964469115,2000400.0,0.2798,0.0442,0.324,20.8008,19.996,21.6055,62.6931,21.31,20.9285,2.5815,140.9753,14.9916,True
2012-02-27,28.16,28.51,27.8699,21.4358295074,2071300.0,0.2896,0.039,0.3286,20.8429,19.9987,21.687,61.513,21.3191,20.9671,2.9827,129.3789,13.2114,True
2012-02-28,28.28,28.59,28.18,21.4699267972,1543900.0,0.2979,0.0332,0.3311,20.8965,20.0362,21.7568,61.9447,21.4169,21.0313,5.7739,134.614,13.6463,True
2012-02-29,28.42,28.49,27.86,21.1327424872,1980300.0,0.2988,0.0036,0.3024,20.9441,20.1444,21.7438,55.3644,21.382,21.0758,4.5214,109.26,11.3761,True
2012-03-01,28.07,28.11,27.76,21.1251653116,1551000.0,0.2942,-0.0183,0.2759,20.976,20.2011,21.7508,55.2232,21.332,21.1065,3.2024,93.9823,10.6735,False
2012-03-02,27.93,28.15,27.63,20.981198977,1302100.0,0.2834,-0.043,0.2404,21.0036,20.2706,21.7366,52.4968,21.229,21.1138,3.4246,84.3718,9.7581,False
2012-03-05,27.68,27.68,26.93,20.5417227977,2229700.0,0.2617,-0.0868,0.1749,20.9879,20.2298,21.746,45.1984,21.0502,21.1204,0.0743,40.4278,5.0026,False
2012-03-06,26.95,27.32,26.93,20.6402260792,1798400.0,0.2353,-0.1059,0.1294,20.9946,20.2513,21.7378,46.9689,20.8842,21.125,-0.3153,33.2948,5.0026,False
2012-03-07,27.27,27.69,27.16,20.8902728709,2090200.0,0.2107,-0.0984,0.1122,21.0158,20.3109,21.7206,51.2524,20.8357,21.1398,2.1442,54.853,7.2005,False
2012-03-08,27.69,27.88,27.52,21.0266620301,1735000.0,0.1902,-0.0818,0.1084,21.0339,20.3477,21.7201,53.4498,20.816,21.1551,1.8755,71.6821,8.3084,False
2012-03-09,27.75,27.905,27.5498,21.1251653116,1915500.0,0.1746,-0.0626,0.112,21.0466,20.3635,21.7297,55.0188,20.8448,21.1279,1.1964,74.7674,8.4546,False
2012-03-12,27.8,27.97,27.7,21.1062223729,1369300.0,0.1621,-0.05,0.112,21.0797,20.4551,21.7043,54.6393,20.9577,21.109,2.1303,78.0845,8.839,False
2012-03-13,28.0,28.26,27.87,21.4130979809,1385600.0,0.1567,-0.0214,0.1353,21.1218,20.5273,21.7163,59.4889,21.1123,21.1378,3.3394,100.2419,10.5434,False
2012-03-14,28.22,28.71,28.045,21.5570643155,2682300.0,0.1581,0.0054,0.1634,21.1663,20.5812,21.7514,61.5549,21.2456,21.1545,5.1715,121.6247,13.107,True
2012-03-15,28.45,28.89,28.41,21.7237621766,2140000.0,0.1658,0.0311,0.1969,21.2126,20.6055,21.8197,63.8425,21.3851,21.1777,4.3928,142.012,14.1083,True
2012-03-16,28.59,28.88,28.55,21.6858762991,1872800.0,0.1762,0.0416,0.2179,21.2203,20.5937,21.8468,62.9307,21.4972,21.1903,1.235,142.694,14.1083,True
2012-03-19,28.51,28.93,28.43,21.8753056868,1583900.0,0.1904,0.0566,0.2469,21.2445,20.5588,21.9302,65.5654,21.651,21.2196,1.0126,144.5965,13.2089,True
2012-03-20,28.82,28.82,28.43,21.6328360706,2248000.0,0.2018,0.0457,0.2475,21.2771,20.5826,21.9716,59.7421,21.695,21.2305,1.8015,128.1592,13.2089,True
2012-03-21,28.73,28.815,28.4,21.6025273685,1421200.0,0.21,0.0328,0.2428,21.2919,20.5831,22.0007,59.0398,21.7041,21.2618,2.0361,121.884,12.9787,True
2012-03-22,28.4,28.6482,28.25,21.5873730175,1535500.0,0.215,0.0201,0.2351,21.3025,20.5827,22.0222,58.6703,21.6768,21.2926,1.1232,107.9886,11.8223,True
2012-03-23,28.41,28.62,28.27,21.6858762991,906800.0,0.2189,0.0154,0.2342,21.3119,20.5774,22.0465,60.3964,21.6768,21.3396,0.5622,108.3186,11.8223,True
2012-03-26,28.88,29.25,28.72,22.117775303,1868100.0,0.2282,0.0372,0.2653,21.346,20.5326,22.1595,66.892,21.7253,21.4447,2.5956,154.4602,15.5756,True
2012-03-27,29.13,29.23,28.83,21.8828828623,2492600.0,0.2361,0.0318,0.2679,21.3667,20.5214,22.212,61.0566,21.7753,21.5275,2.2385,142.6622,15.5756,True
2012-03-28,28.85,28.85,28.14,21.4888697359,2511900.0,0.236,-0.0005,0.2355,21.3845,20.5446,22.2243,52.7814,21.7526,21.5674,1.2636,90.4913,10.2597,False
2012-03-29,28.26,28.57,28.0,21.6025273685,1723200.0,0.2321,-0.0156,0.2165,21.4084,20.5722,22.2445,54.6798,21.7556,21.6058,1.6364,79.332,9.2231,False
2012-03-30,28.74,28.76,28.24,21.6631447726,2997600.0,0.2265,-0.0225,0.2039,21.4425,20.6233,22.2616,55.6976,21.751,21.6417,2.167,92.309,10.3859,False
2012-04-02,28.38,28.48,28.02,21.504024087,1786700.0,0.217,-0.0379,0.1791,21.4906,20.7833,22.1978,52.3885,21.6283,21.6682,2.8902,67.2289,8.7457,False
2012-04-03,28.29,28.66,28.085,21.4055208054,2438300.0,0.2035,-0.0538,0.1497,21.5288,20.9363,22.1214,50.4024,21.5328,21.6677,4.9048,68.6606,9.8601,False
2012-04-04,27.96,27.99,27.56,21.0721250831,2532200.0,0.1825,-0.0841,0.0984,21.5379,20.9803,22.0956,44.3106,21.4495,21.6354,1.0834,11.6827,6.0198,False
2012-04-05,27.78,28.035,27.74,21.1857827157,1579100.0,0.1592,-0.0931,0.0662,21.5459,21.0137,22.0781,46.6651,21.3661,21.5995,0.556,22.4639,6.3053,False
2012-04-09,27.66,27.94,27.455,21.0493935566,1636100.0,0.1332,-0.104,0.0293,21.5421,20.997,22.0872,44.2592,21.2434,21.5571,0.1254,-0.5939,4.2653,False
2012-04-10,27.84,28.03,27.16,20.6023402017,2994800.0,0.0995,-0.1351,-0.0356,21.5169,20.8587,22.1751,37.474,21.063,21.4722,0.2145,-34.4928,2.2009,False
2012-04-11,27.34,27.61,27.1001,20.6553804303,3852300.0,0.0632,-0.1451,-0.0819,21.479,20.7216,22.2365,38.6692,20.913,21.407,-2.3001,-56.1822,1.7847,False
2012-04-12,27.34,27.96,27.34,21.0418163811,2126400.0,0.0333,-0.1196,-0.0863,21.4533,20.6734,22.2331,46.6326,20.9069,21.3697,-2.6123,-15.7176,4.1049,False
2012-04-13,27.6,27.75,27.23,20.6553804303,1593400.0,0.0027,-0.1224,-0.1196,21.3998,20.5576,22.2421,40.9375,20.8009,21.3075,-3.946,-53.1114,3.3248,False
2012-04-16,27.33,27.59,27.06,20.7538837118,4250800.0,-0.0251,-0.1114,-0.1365,21.3532,20.477,22.2295,42.8439,20.7418,21.2454,-4.4668,-61.5915,2.122,False
2012-04-17,27.55,28.03,27.43,21.1630511892,2707800.0,-0.0432,-0.0723,-0.1156,21.3176,20.4718,22.1635,50.0232,20.8539,21.1817,-3.111,-2.8439,5.0318,False
2012-04-18,27.74,28.18,27.65,21.2842859973,2653400.0,-0.0522,-0.0359,-0.0882,21.3002,20.4668,22.1336,51.9397,20.9797,21.1418,-2.2207,19.7053,6.0006,False
2012-04-19,28.09,28.4,27.46,21.0190848546,2588200.0,-0.0591,-0.0277,-0.0868,21.271,20.4412,22.1009,47.6565,20.9751,21.1105,-1.4402,4.7232,7.4094,False
2012-04-20,27.83,27.95,27.06,20.5871858507,2654500.0,-0.0712,-0.0481,-0.1193,21.221,20.3537,22.0883,41.6617,20.9615,21.0428,-2.4372,-59.3307,4.5132,False
2012-04-23,26.83,27.08,26.59,20.4583738671,2179400.0,-0.0876,-0.0659,-0.1536,21.1596,20.2595,22.0598,40.0518,20.9024,20.9625,-5.3809,-124.5537,1.2508,False
2012-04-24,27.13,27.19,26.679,20.2537901284,2316100.0,-0.1091,-0.0859,-0.195,21.0664,20.197,21.9359,37.5806,20.7205,20.8792,-7.0427,-125.3194,1.979,False
2012-04-25,27.05,27.33,26.97,20.7084206588,1741800.0,-0.1251,-0.0639,-0.189,21.0077,20.2111,21.8043,45.5759,20.6054,20.8327,-6.5002,-82.085,2.9058,False
2012-04-26,27.22,27.83,27.212,20.9130043975,2923700.0,-0.1333,-0.0326,-0.1659,20.9789,20.213,21.7449,48.7415,20.5842,20.8221,-3.5355,-39.8493,6.1293,False
