date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-24,38.23,38.3,37.13,37.62,5323000.0,1.2538,1.0014,-0.2524,35.9584,39.6921,37.8252,55.3908,38.12,38.2783,0.8691,86.3946,10.4997,False
2012-02-27,37.22,38.15,36.94,38.02,2453900.0,1.1884,0.9269,-0.2615,36.1152,39.6773,37.8962,57.6275,37.942,38.2897,3.951,83.8414,9.9096,False
2012-02-28,38.02,38.29,37.59,37.99,2298800.0,1.1219,0.8556,-0.2662,36.47,39.5305,38.0002,57.3962,37.918,38.3053,5.7151,86.9363,10.2687,False
2012-02-29,38.05,38.42,37.55,37.85,2784800.0,1.0532,0.7788,-0.2744,36.8632,39.3223,38.0927,56.2673,37.936,38.2727,6.0447,83.2799,10.6052,False
2012-03-01,38.06,38.52,37.3,37.99,2335000.0,0.9868,0.721,-0.2658,37.0174,39.2671,38.1422,57.1699,37.894,38.248,3.3816,80.169,9.8,False
2012-03-02,37.9,37.9,36.76,37.09,2970300.0,0.9086,0.5956,-0.3129,37.0898,39.2217,38.1557,50.054,37.788,38.1607,0.0,61.5732,8.0717,False
2012-03-05,37.03,37.09,36.37,36.65,2060400.0,0.8179,0.4555,-0.3624,36.8481,39.3434,38.0957,46.9904,37.514,38.102,-2.2661,47.1443,6.8366,False
2012-03-06,36.31,36.43,35.55,35.72,2813900.0,0.7076,0.2664,-0.4413,36.3751,39.6129,37.994,41.2699,37.06,37.9253,-3.6243,27.4381,4.2882,False
2012-03-07,35.89,36.28,35.75,36.06,2678600.0,0.5946,0.1423,-0.4523,36.0653,39.6947,37.88,43.943,36.702,37.7433,-5.9129,29.6871,4.2882,False
2012-03-08,36.19,36.67,36.19,36.52,2130600.0,0.4917,0.0801,-0.4116,35.8951,39.6809,37.788,47.4125,36.408,37.6013,-5.6113,38.7477,5.3981,False
2012-03-09,36.5,37.23,36.5,36.81,2035200.0,0.4041,0.0536,-0.3504,35.7917,39.6253,37.7085,49.5228,36.352,37.42,-3.5742,46.457,6.9734,False
2012-03-12,36.6,36.7491,36.2,36.67,1180000.0,0.3275,0.0211,-0.3064,35.6967,39.6343,37.6655,48.5158,36.356,37.2707,-3.6089,38.1154,6.0117,False
2012-03-13,37.06,38.76,36.8,38.67,3457600.0,0.293,0.1549,-0.138,35.6861,39.6749,37.6805,60.7363,36.946,37.308,0.6753,72.3281,11.439,False
2012-03-14,38.93,39.6401,38.51,39.35,4502600.0,0.2968,0.3123,0.0154,35.6383,39.7787,37.7085,63.8612,37.604,37.414,2.06,96.0525,13.6581,True
2012-03-15,39.09,40.21,39.04,40.08,3374000.0,0.3355,0.4902,0.1547,35.4968,40.0632,37.78,66.8919,38.316,37.5393,2.6289,108.297,15.0597,True
2012-03-16,40.03,41.14,40.03,40.9,5154200.0,0.4063,0.6894,0.2831,35.2934,40.4036,37.8485,69.9272,39.134,37.758,3.7579,127.8724,17.2878,True
2012-03-19,40.51,41.64,40.44,41.4,3816200.0,0.5005,0.8776,0.377,35.0126,40.9334,37.973,71.6267,40.08,37.9833,5.2046,136.2726,18.4573,True
2012-03-20,40.85,41.24,40.51,41.1,2831100.0,0.5986,0.991,0.3924,34.8627,41.3823,38.1225,69.1158,40.566,38.1907,5.7165,129.2367,18.4573,True
2012-03-21,41.01,41.71,40.9,41.7,3188200.0,0.7022,1.1165,0.4143,34.7133,41.9257,38.3195,71.2736,41.036,38.4473,8.7614,139.3723,19.5629,True
2012-03-22,41.13,41.29,40.81,41.1,2950200.0,0.7926,1.1542,0.3616,34.6614,42.2676,38.4645,66.3098,41.24,38.6547,6.9412,127.4685,19.2481,True
