date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-14,54.82,55.2499,54.23,54.0241281354,295900.0,0.4742,-0.2808,0.1935,49.5902,54.4717,59.3532,52.8358,53.3964,53.4162,-7.0649,51.1879,10.7311,False
2012-03-15,54.76,56.09,54.25,55.3014581445,439900.0,0.4448,-0.1177,0.3271,49.6574,54.3647,59.0721,56.1205,53.8637,53.4023,-6.1161,56.8697,11.7641,False
2012-03-16,55.85,56.0,54.96,54.9251903898,480100.0,0.4355,-0.0373,0.3981,50.1201,54.1192,58.1182,54.9134,54.4083,53.3343,-7.438,56.7571,11.7641,False
2012-03-19,55.22,55.69,54.28,53.8557978241,348700.0,0.4211,-0.0572,0.3639,50.3612,53.9038,57.4464,51.538,54.5133,53.1501,-8.9735,48.7581,10.6919,False
2012-03-20,54.06,54.498,53.45,53.7171728619,270800.0,0.4013,-0.0794,0.3219,50.4205,53.7682,57.1158,51.1018,54.3647,53.23,-7.8959,39.8652,9.3892,False
2012-03-21,54.48,54.72,53.23,53.2517890601,290200.0,0.3707,-0.1225,0.2482,50.4743,53.6147,56.7551,49.5918,54.2103,53.3059,-5.4596,36.8014,9.6783,False
2012-03-22,53.41,53.75,52.0,52.2913161076,401400.0,0.3187,-0.2078,0.111,50.3893,53.4538,56.5183,46.5503,53.6083,53.1746,-5.9328,21.9628,7.7413,False
2012-03-23,52.83,52.93,51.89,52.2418071925,225700.0,0.2546,-0.2564,-0.0017,50.3866,53.2686,56.1507,46.3931,53.0716,53.0769,-6.9608,15.1298,7.5685,False
2012-03-26,53.15,56.5,53.15,54.3607887579,378800.0,0.2195,-0.1405,0.079,50.6558,53.1557,55.6557,53.5792,53.1726,53.2227,-2.6701,46.9486,12.2148,False
2012-03-27,55.0,55.28,53.83,53.4102175884,199800.0,0.1887,-0.1232,0.0656,50.7156,53.2003,55.685,50.336,53.1112,53.4267,-1.2857,37.7619,12.2148,False
2012-03-28,53.87,53.99,51.57,51.4892716833,372900.0,0.1312,-0.2302,-0.099,50.6159,53.1691,55.7223,44.5034,52.7587,53.4551,-2.7207,1.7977,8.6395,False
2012-03-29,51.61,52.2,51.31,51.3506467211,249500.0,0.0574,-0.2952,-0.2378,50.405,53.0236,55.6421,44.1083,52.5705,53.3475,-4.8487,-19.4512,8.236,False
2012-03-30,52.12,52.5414,51.5,51.5387805984,297700.0,-0.0199,-0.309,-0.3289,50.2399,52.9151,55.5904,44.8207,52.4299,53.3033,-7.9029,-22.7622,8.6888,False
2012-04-02,51.95,53.9199,51.92,53.2418872771,329300.0,-0.068,-0.1926,-0.2606,50.3121,52.9686,55.625,50.8923,52.2062,53.2973,-1.0099,-0.9266,10.5023,False
