date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Lower Band,Real Middle Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-07,61.81,62.95,61.49,48.2790856425,12337300.0,0.8952,0.718,-0.1772,46.8032,47.7685,48.7338,64.4555,47.945,47.9627,2.8551,94.8299,14.6962,False
2012-03-08,62.99,63.64,62.87,48.7409391403,10566200.0,0.8631,0.7348,-0.1283,46.8702,47.8557,48.8412,67.7374,48.0543,48.0734,3.8982,109.5208,16.6283,False
2012-03-09,63.59,64.28,63.43,49.2104901965,12233300.0,0.8459,0.7771,-0.0688,46.8287,47.9485,49.0683,70.6858,48.2852,48.1802,4.4013,117.6375,18.3723,False
2012-03-12,63.95,64.19,63.46,49.1489097301,7606300.0,0.836,0.7964,-0.0396,46.867,48.0462,49.2253,69.7896,48.5531,48.2702,4.5757,112.4215,18.3723,False
2012-03-13,64.16,64.89,64.15,49.9186655598,11908300.0,0.8416,0.8639,0.0223,46.8124,48.1819,49.5515,74.1747,49.0596,48.3982,5.392,124.6008,20.2591,True
2012-03-14,64.81,65.56,64.7,50.1188020756,15126300.0,0.8579,0.9229,0.065,46.7996,48.3289,49.8582,75.1784,49.4276,48.5513,6.9634,130.3123,22.0136,True
2012-03-15,65.28,65.49,64.88,50.1957776586,10019900.0,0.8792,0.9647,0.0855,46.8638,48.4847,50.1055,75.5696,49.7185,48.6607,6.3665,127.4877,22.0136,True
2012-03-16,65.17,65.62,65.08,50.3497288245,17787900.0,0.9032,0.9988,0.0957,46.8628,48.6217,50.3807,76.3679,49.9464,48.7838,5.8774,127.3847,22.3565,True
2012-03-19,65.8386,67.0,65.54,51.3812016364,14613100.0,0.9418,1.0964,0.1546,46.7144,48.8008,50.8873,80.8577,50.3928,48.9823,7.5696,144.8401,25.8741,True
2012-03-20,66.43,66.82,66.33,51.3812016364,11400500.0,0.9855,1.1604,0.1748,46.6373,48.97,51.3027,80.8577,50.6853,49.2023,6.9056,144.8341,25.8741,True
2012-03-21,66.85,66.9,65.9,51.1348797709,13452600.0,1.0239,1.1776,0.1537,46.685,49.1356,51.5863,76.8548,50.8886,49.4204,7.0123,136.4319,24.0629,True
2012-03-22,66.23,66.41,65.95,51.0271139547,7652100.0,1.053,1.1691,0.1161,46.6915,49.2592,51.8269,75.1118,51.0548,49.6092,5.0312,129.1923,24.0629,True
2012-03-23,66.5,66.74,65.69,51.3311675074,9777200.0,1.077,1.1734,0.0963,46.7068,49.4006,52.0945,76.7087,51.2511,49.8276,5.305,129.6587,24.9203,True
2012-03-26,67.34,68.71,67.3,52.7975523631,17106600.0,1.1177,1.2803,0.1626,46.5917,49.6203,52.649,82.5078,51.5344,50.1601,8.7542,165.3862,29.7368,True
2012-03-27,68.59,68.87,68.34,52.7205767802,10089300.0,1.1628,1.3434,0.1805,46.6264,49.8523,53.0782,81.3684,51.8023,50.5157,8.9175,168.915,30.1071,True
2012-03-28,68.18,68.68,67.34,52.4357671232,10022800.0,1.2012,1.3547,0.1535,46.8035,50.0809,53.3583,77.1449,52.0624,50.7929,9.0678,153.6356,25.8898,True
2012-03-29,67.88,67.99,67.3,52.2895135155,8426900.0,1.2283,1.3366,0.1083,46.9936,50.2856,53.5777,75.0029,52.3149,51.0294,8.1094,142.8233,25.724,True
