date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-03-22,17.59,17.86,17.55,13.0235803206,4195600.0,-0.0256,-0.065,0.0394,12.9425,13.4448,12.4401,48.1652,13.1103,12.9432,-0.7244,-55.7972,4.4533,True
2012-03-23,17.73,17.97,17.66,13.1779229768,5173200.0,-0.0132,-0.0547,0.0414,12.9479,13.458,12.4379,52.6039,13.0927,12.9793,0.6661,-37.4472,3.3743,True
2012-03-26,17.99,18.23,17.94,13.3984124856,5502400.0,0.0142,-0.0409,0.0551,12.9618,13.5041,12.4196,58.0962,13.1265,13.0373,1.8389,-3.8125,0.8696,True
2012-03-27,18.25,18.3,18.12,13.3175663324,4193200.0,0.0291,-0.0269,0.056,12.9779,13.5419,12.414,55.5665,13.172,13.0934,2.2867,1.9754,0.2048,True
2012-03-28,18.1,18.1318,17.81,13.1485243756,5011400.0,0.0269,-0.0161,0.0431,12.9969,13.557,12.4368,50.628,13.2132,13.1294,1.7993,-25.8066,3.0813,True
2012-03-29,17.79,17.9,17.75,13.133825075,3726900.0,0.0238,-0.0081,0.0319,13.0162,13.5672,12.4653,50.2122,13.2353,13.1581,2.0361,-37.0872,3.6281,True
2012-03-30,18.0,18.0,17.57,12.9353845171,6884400.0,0.0052,-0.0055,0.0107,13.0311,13.5558,12.5065,44.8809,13.1867,13.1594,3.427,-49.7681,5.2587,True
2012-04-02,17.54,18.2,17.53,13.3249159826,8231400.0,0.0216,-0.0001,0.0217,13.071,13.5563,12.5857,54.9425,13.172,13.1814,5.602,-21.6904,3.2841,True
2012-04-03,18.15,18.18,17.92,13.2734684306,6481300.0,0.0302,0.006,0.0242,13.1108,13.5191,12.7025,53.559,13.1632,13.1838,6.5931,-9.4589,3.2841,True
2012-04-04,17.91,17.97,17.71,13.0897271732,4146300.0,0.0219,0.0092,0.0127,13.1349,13.4725,12.7973,48.8518,13.1515,13.172,4.3277,-35.2622,5.215,True
2012-04-05,18.19,18.2,17.84,13.1705733265,6827400.0,0.0215,0.0116,0.0099,13.1583,13.4318,12.8848,50.8867,13.1588,13.1681,4.3377,-15.6944,2.9262,True
2012-04-09,17.73,17.78,17.58,12.9721327685,3879300.0,0.0052,0.0104,-0.0051,13.1611,13.4255,12.8967,46.0669,13.1662,13.1485,0.8376,-52.6252,5.2945,False
2012-04-10,17.58,17.69,17.28,12.7295943089,5251100.0,-0.027,0.0029,-0.0299,13.1478,13.4655,12.8301,40.9835,13.0471,13.1152,-0.5701,-80.4087,7.9302,False
2012-04-11,17.44,17.59,17.4,12.9133355662,3639900.0,-0.0372,-0.0051,-0.0321,13.1316,13.4622,12.801,45.8349,12.9751,13.1034,-2.3871,-67.8763,7.9302,False
2012-04-12,17.6,17.82,17.56,13.0897271732,3559400.0,-0.0308,-0.0103,-0.0205,13.1228,13.448,12.7976,50.0577,12.9751,13.1132,-2.3562,-40.2526,5.6,False
2012-04-13,17.74,17.79,17.56,12.9059859159,2918100.0,-0.04,-0.0162,-0.0238,13.1066,13.441,12.7722,46.0508,12.9222,13.1054,-2.1452,-50.9128,5.6,False
2012-04-16,17.63,17.78,17.6,13.0309299709,4845500.0,-0.0368,-0.0203,-0.0165,13.0949,13.4225,12.7673,49.0237,12.9339,13.0956,-2.0925,-40.9821,5.6,False
2012-04-17,17.83,18.1,17.8,13.2514194797,4645800.0,-0.0163,-0.0195,0.0032,13.096,13.4255,12.7664,53.8338,13.0383,13.0858,0.166,-2.2527,2.3662,True
2012-04-18,17.92,17.94,17.74,13.0382796212,5744900.0,-0.0171,-0.019,0.002,13.0934,13.4239,12.7629,49.0411,13.0633,13.0672,-0.1669,-24.5467,2.933,True
2012-04-19,17.78,18.1,17.75,13.2661187803,7597900.0,0.0007,-0.0151,0.0158,13.1096,13.4407,12.7785,53.7564,13.0985,13.075,1.6283,1.2503,1.3376,True
2012-04-20,18.09,18.19,17.97,13.2293705288,4859500.0,0.0117,-0.0097,0.0214,13.1199,13.4524,12.7873,52.9103,13.1632,13.0814,1.8477,18.7491,0.447,True
2012-04-23,17.82,18.03,17.7,13.1926222774,9169300.0,0.0172,-0.0043,0.0216,13.1206,13.4537,12.7875,52.0329,13.1956,13.0985,0.3339,-4.1632,3.0465,True
2012-04-24,17.84,18.185,17.71,13.2734684306,9475200.0,0.0278,0.0021,0.0257,13.1143,13.4306,12.798,53.8373,13.2,13.0951,-0.2468,15.7239,1.4992,True
2012-04-25,18.21,18.4,18.11,13.50865724,9375400.0,0.0546,0.0126,0.042,13.1239,13.4739,12.7739,58.682,13.294,13.1108,0.5464,77.9087,0.606,True
2012-04-26,18.41,18.41,18.23,13.4425103873,5760000.0,0.0696,0.024,0.0456,13.1386,13.5152,12.762,56.8831,13.3293,13.1343,1.5343,85.7287,0.7034,True
2012-04-27,18.38,18.67,18.26,13.6483005956,6938600.0,0.097,0.0386,0.0584,13.1643,13.6015,12.7271,60.8805,13.4131,13.1662,4.3017,130.1683,3.2117,True
2012-04-30,18.5,18.63,18.3,13.50865724,4772100.0,0.1063,0.0521,0.0541,13.193,13.6414,12.7446,57.036,13.4763,13.2019,3.5,124.2967,3.2117,True
2012-05-01,18.38,18.68,18.355,13.5454054915,4450700.0,0.1152,0.0648,0.0505,13.204,13.6751,12.7329,57.7876,13.5307,13.2563,2.6374,148.5516,3.6955,True
2012-05-02,18.3,18.33,18.05,13.2808180809,9561400.0,0.0998,0.0718,0.0281,13.2044,13.6757,12.733,50.9164,13.4851,13.2808,0.8251,80.875,0.5767,True
