date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2013-03-11,36.91,37.14,35.72,37.0,1185100.0,1.3507,1.7685,0.4178,33.2635,28.4592,38.0678,68.7404,36.79,33.9967,24.5055,187.8395,11.0887,True
2013-03-12,37.0,38.22,37.0,37.83,1856700.0,1.4559,1.8766,0.4207,33.6775,28.7981,38.5569,70.9063,37.042,34.288,28.4706,204.1847,13.2334,True
2013-03-13,37.88,38.18,37.01,37.61,996700.0,1.5492,1.9224,0.3732,34.0955,29.3751,38.8159,69.538,37.174,34.598,28.3361,187.8867,13.2334,True
2013-03-14,37.83,37.866,36.57,37.45,1129600.0,1.6241,1.9236,0.2995,34.479,29.9824,38.9756,68.5078,37.31,34.992,26.6845,168.1181,12.0941,True
2013-03-15,37.58,37.75,37.09,37.1,1551700.0,1.6742,1.8747,0.2005,34.69,30.1179,39.2621,66.209,37.398,35.2333,13.6706,158.4938,12.0941,True
2013-03-18,36.64,36.64,35.4,35.63,1539400.0,1.6789,1.6977,0.0188,34.7785,30.2056,39.3514,57.523,37.124,35.464,7.3857,118.3523,7.7865,True
2013-03-19,35.77,36.03,34.39,34.46,1187400.0,1.6324,1.4464,-0.186,34.8285,30.2926,39.3644,51.7352,36.45,35.678,4.9519,93.0306,5.3265,False
2013-03-20,35.36,35.44,34.44,34.76,877900.0,1.5573,1.257,-0.3004,34.9185,30.4638,39.3732,53.0334,35.88,35.8487,4.4811,88.9045,5.3265,False
2013-03-21,34.6,36.17,34.44,36.0,1497800.0,1.4845,1.1931,-0.2914,35.1415,30.9466,39.3364,58.0327,35.59,36.084,9.9392,101.1937,6.9145,False
2013-03-22,36.31,36.49,35.83,36.27,723200.0,1.4178,1.1511,-0.2667,35.281,31.1311,39.4309,59.0496,35.424,36.316,7.7673,111.4734,7.6053,False
2013-03-25,36.38,36.51,35.74,36.05,473000.0,1.3517,1.0874,-0.2643,35.475,31.5694,39.3806,57.8264,35.508,36.474,8.1778,104.5118,7.3774,False
2013-03-26,36.35,36.385,35.68,36.14,583500.0,1.2879,1.0324,-0.2555,35.7195,32.3235,39.1155,58.2059,35.844,36.4453,13.3136,99.5427,7.2234,False
2013-03-27,36.12,36.69,35.93,36.21,608500.0,1.2269,0.983,-0.2439,35.92,32.9295,38.9105,58.5169,36.134,36.396,9.099,99.863,7.9061,False
2013-03-28,36.74,37.24,35.92,36.2,744100.0,1.168,0.9324,-0.2356,36.1065,33.569,38.644,58.4503,36.174,36.358,14.4086,99.5123,9.1324,False
2013-04-01,36.2,36.495,34.78,35.23,1391400.0,1.0953,0.8047,-0.2906,36.2285,34.1469,38.3101,52.269,35.966,36.2627,10.5574,76.8814,6.153,False
2013-04-02,36.04,36.06,35.32,35.71,839700.0,1.023,0.7338,-0.2892,36.33,34.5845,38.0755,54.8032,35.898,36.1767,6.7496,78.1589,6.153,False
2013-04-03,35.64,35.81,33.95,34.53,1100600.0,0.9336,0.5757,-0.3578,36.228,34.3197,38.1363,48.0796,35.576,35.9567,-2.7431,57.1765,2.6695,False
2013-04-04,34.45,35.14,34.15,35.05,721100.0,0.8442,0.4868,-0.3574,36.133,34.1891,38.0769,50.9225,35.344,35.786,-6.2183,55.6572,2.6695,False
2013-04-05,34.28,35.2,34.28,35.17,543800.0,0.7596,0.4212,-0.3384,36.053,34.089,38.017,51.578,35.138,35.634,-4.8649,55.9154,2.8139,False
2013-04-08,35.24,35.59,35.07,35.55,716200.0,0.6868,0.3953,-0.2915,35.9975,34.0425,37.9525,53.6774,35.202,35.5307,-3.6806,64.8136,3.7581,False
2013-04-09,35.51,36.13,35.29,35.76,600600.0,0.6268,0.3872,-0.2396,35.9355,34.0337,37.8373,54.8368,35.212,35.5393,-2.7194,69.589,5.0569,False
2013-04-10,35.69,35.97,35.25,35.85,764900.0,0.5782,0.3837,-0.1945,35.8365,34.1449,37.5281,55.3499,35.476,35.632,-5.887,66.6814,4.9502,False
2013-04-11,35.67,35.8,34.86,34.99,866900.0,0.5242,0.3079,-0.2162,35.7055,34.1866,37.2244,49.5822,35.464,35.6473,-6.2336,54.2692,3.9039,False
2013-04-12,35.05,35.57,34.76,35.19,1170700.0,0.4715,0.261,-0.2105,35.5925,34.2885,36.8965,50.8582,35.468,35.5933,-6.0635,51.3545,3.6346,False
