date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-02-21,20.3,20.49,20.17,15.346097585,41222900.0,0.2114,0.2261,-0.0148,15.0557,14.684,15.4275,64.049,15.1984,15.12,2.0927,121.7159,18.3667,False
2012-02-22,20.41,20.46,20.05,15.1652005604,36219200.0,0.1976,0.2204,-0.0228,15.0672,14.6968,15.4376,57.7147,15.2059,15.1438,3.0211,105.7473,17.0118,False
2012-02-23,20.1,20.25,19.92,15.2481116967,30008000.0,0.1912,0.2146,-0.0234,15.0823,14.7083,15.4563,59.6732,15.2541,15.1655,1.9124,95.2646,15.5547,False
2012-02-24,20.27,20.33,20.11,15.1802753125,27220500.0,0.1786,0.2074,-0.0288,15.094,14.723,15.4649,57.3449,15.2466,15.1825,1.7009,97.2534,16.2077,False
2012-02-27,19.99,20.26,19.97,15.2028874405,37170200.0,0.1685,0.1996,-0.0311,15.117,14.7805,15.4535,57.9311,15.2285,15.1866,2.8949,88.631,14.6302,False
2012-02-28,20.16,20.22,20.02,15.2254995686,34349100.0,0.1605,0.1918,-0.0313,15.1411,14.849,15.4332,58.5416,15.2044,15.1871,3.0056,86.781,14.6302,False
2012-02-29,20.18,20.2,19.84,14.9843035358,46229800.0,0.1331,0.18,-0.047,15.1499,14.8899,15.41,50.2139,15.1682,15.171,2.3822,68.2661,12.5977,False
2012-03-01,19.91,19.96,19.74,14.9843035358,43149300.0,0.1101,0.1661,-0.0559,15.153,14.9023,15.4037,50.2139,15.1155,15.1433,0.0501,55.7692,11.481,False
2012-03-02,19.84,19.89,19.71,14.8938550235,27449600.0,0.0837,0.1496,-0.0659,15.1514,14.895,15.4079,47.3164,15.0582,15.1313,-0.4505,47.3228,11.1447,False
2012-03-05,19.73,19.75,19.46,14.7732570072,31971300.0,0.0524,0.1301,-0.0778,15.133,14.828,15.438,43.713,14.9722,15.1165,-2.2277,28.9092,8.3741,False
2012-03-06,19.43,19.53,19.32,14.6828084949,36742300.0,0.02,0.1081,-0.0881,15.1062,14.7467,15.4657,41.1921,14.8637,15.0888,-3.3168,12.8625,6.8572,False
2012-03-07,19.5,19.53,19.4,14.6300468627,34751400.0,-0.0097,0.0846,-0.0943,15.0764,14.6663,15.4866,39.7591,14.7929,15.0557,-3.9351,12.0821,6.8572,False
2012-03-08,19.57,19.78,19.53,14.8335560153,36655500.0,-0.0167,0.0643,-0.081,15.0482,14.6532,15.4432,47.3313,14.7627,15.0441,-3.2763,31.9993,9.2042,False
