date,open,high,low,Close,vol,MACD,MACD_Signal,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-11-21,2.62,2.829,2.43,2.73,194700.0,-0.4051,-0.4182,0.0132,2.908,4.1168,1.6992,43.6964,2.306,2.6953,-23.5405,-105.5449,16.0971,True
2012-11-23,2.78,2.78,2.55,2.58,56400.0,-0.3747,-0.4095,0.0348,2.866,4.059,1.673,41.3274,2.422,2.634,-20.1149,-104.8524,16.0971,True
2012-11-26,2.58,2.86,2.58,2.81,87900.0,-0.3283,-0.3933,0.065,2.832,3.9901,1.6739,46.1259,2.586,2.5993,-20.3343,-92.9216,15.1579,True
2012-11-27,2.86,2.86,2.68,2.71,101500.0,-0.2962,-0.3739,0.0777,2.7855,3.8832,1.6878,44.4331,2.684,2.5513,-22.4932,-90.6737,15.1579,True
2012-11-28,2.7,2.72,2.54,2.58,127500.0,-0.278,-0.3547,0.0767,2.739,3.7877,1.6903,42.2722,2.682,2.4887,-25.2747,-100.0341,16.3822,True
2012-11-29,2.55,2.77,2.55,2.6,125200.0,-0.259,-0.3355,0.0766,2.6855,3.6441,1.7269,42.7313,2.656,2.4433,-26.5252,-95.4705,15.7754,True
2012-11-30,2.6,2.83,2.55,2.79,148500.0,-0.226,-0.3136,0.0877,2.65,3.5351,1.7649,47.0198,2.698,2.466,-25.3298,-86.0113,15.0434,True
2012-12-03,2.85,3.09,2.8,2.98,175500.0,-0.1824,-0.2874,0.105,2.6325,3.476,1.789,50.9548,2.732,2.488,-15.1099,-63.502,11.9252,True
2012-12-04,2.98,3.09,2.83,2.88,82500.0,-0.1541,-0.2607,0.1066,2.605,3.3754,1.8346,48.9064,2.766,2.5187,-11.8779,-63.7098,11.9252,True
2012-12-05,3.01,3.08,2.73,2.8,108400.0,-0.1366,-0.2359,0.0993,2.569,3.2236,1.9144,47.2774,2.81,2.558,-17.8667,-67.4519,12.8646,True
2012-12-06,2.76,3.3,2.6,2.72,140500.0,-0.1277,-0.2143,0.0865,2.541,3.1144,1.9676,45.6483,2.834,2.5987,-7.563,-65.1295,10.234,True
2012-12-07,2.75,3.0,2.6,2.67,106200.0,-0.1233,-0.1961,0.0728,2.552,3.1264,1.9776,44.6187,2.81,2.6433,-19.3548,-73.8512,10.234,True
2012-12-10,2.65,2.67,2.53,2.54,96800.0,-0.1288,-0.1826,0.0538,2.5465,3.1192,1.9738,41.981,2.722,2.68,-4.6429,-87.9343,10.9172,True
2012-12-11,2.57,2.93,2.51,2.91,124000.0,-0.1021,-0.1665,0.0644,2.571,3.1616,1.9804,50.8427,2.728,2.726,8.5185,-66.0695,7.8175,True
2012-12-12,2.91,3.39,2.91,3.03,213100.0,-0.0705,-0.1473,0.0768,2.612,3.2104,2.0136,53.3202,2.774,2.7553,39.5062,-31.784,2.6559,True
2012-12-13,3.03,3.11,2.91,2.95,57500.0,-0.0513,-0.1281,0.0768,2.654,3.2228,2.0852,51.4674,2.82,2.77,8.7413,-41.7257,2.6559,True
2012-12-14,2.95,3.36,2.95,3.22,161200.0,-0.0141,-0.1053,0.0912,2.715,3.2509,2.1791,56.885,2.93,2.8127,48.3444,-19.6574,0.034,True
2012-12-17,3.32,3.39,3.21,3.35,75100.0,0.0256,-0.0791,0.1047,2.783,3.2771,2.2889,59.2327,3.092,2.8487,54.0909,-1.2601,0.3526,True
2012-12-18,3.36,3.44,3.22,3.38,129500.0,0.0587,-0.0515,0.1103,2.841,3.3295,2.3525,59.7742,3.186,2.8933,52.2124,5.8048,0.8881,True
2012-12-19,3.47,3.47,3.04,3.18,187400.0,0.0681,-0.0276,0.0957,2.8705,3.366,2.375,54.594,3.216,2.9333,30.9434,-4.5501,1.0583,True
2012-12-20,3.2,3.29,3.1,3.15,123300.0,0.0723,-0.0076,0.0799,2.8915,3.3969,2.3861,53.844,3.256,2.97,16.2955,-7.5943,1.0583,True
