date,open,high,low,Close,vol,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Upper Band,Real Middle Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-10,32.02,32.38,31.62,25.1044281392,11486600.0,-0.14,-0.1556,0.0157,25.0766,27.224,26.1503,38.6772,25.5164,26.209,-0.185,-126.303,2.9988,False
2012-04-11,31.93,32.179,31.905,25.33812351,5891500.0,-0.1729,-0.1508,-0.022,25.0342,27.2423,26.1382,42.0366,25.4189,26.1248,-0.3746,-118.4429,2.9988,False
2012-04-12,32.01,32.56,31.91,25.7500611128,5873200.0,-0.1638,-0.1134,-0.0504,25.0968,27.2189,26.1578,47.4713,25.4736,26.0664,-0.2451,-87.896,4.8134,False
2012-04-13,32.41,32.8,32.18,25.492600111,8947700.0,-0.1754,-0.1,-0.0754,25.0364,27.2317,26.1341,44.6668,25.4292,26.0004,-0.0609,-76.6218,5.9406,False
2012-04-16,32.57,32.66,31.8,25.5044829265,6878500.0,-0.1815,-0.0849,-0.0966,24.9701,27.2327,26.1014,44.828,25.4379,25.9394,-1.9219,-94.2357,3.9584,False
2012-04-17,32.32,32.83,32.32,25.9679127296,6303500.0,-0.1473,-0.0405,-0.1067,24.9747,27.1441,26.0594,50.8147,25.6106,25.8755,-3.242,-38.5216,4.769,False
2012-04-18,32.64,32.89,32.35,25.9203814678,5670800.0,-0.1226,-0.0127,-0.1099,24.9685,27.0822,26.0253,50.2159,25.7271,25.8148,-2.4325,-36.0251,5.0567,False
2012-04-19,32.83,33.13,32.37,25.8570064519,8923800.0,-0.1069,0.0024,-0.1093,24.9648,27.009,25.9869,49.3846,25.7485,25.7783,-1.8661,-28.6064,6.209,True
2012-04-20,32.99,33.05,32.32,25.7223345433,48477500.0,-0.1041,0.0042,-0.1083,24.9471,26.9507,25.9489,47.5908,25.7944,25.7403,-1.3727,-42.1036,5.9366,True
2012-04-23,32.2,32.26,31.81,25.2628656787,13134900.0,-0.1374,-0.0233,-0.1141,24.8712,26.911,25.8911,42.0124,25.7461,25.6495,-3.8737,-119.553,3.1912,False
2012-04-24,32.71,32.75,31.2,24.8430061989,18923700.0,-0.1954,-0.065,-0.1303,24.7859,26.7879,25.7869,37.6874,25.5211,25.5494,-3.6765,-142.016,0.0378,False
2012-04-25,31.5,31.98,31.37,25.3262406945,10774100.0,-0.2001,-0.0558,-0.1443,24.8152,26.6081,25.7116,44.7068,25.4023,25.5161,-6.6005,-139.0015,0.0378,False
2012-04-26,31.62,32.0,31.62,25.4450688492,9420400.0,-0.192,-0.0381,-0.1538,24.8194,26.508,25.6637,46.3006,25.3199,25.514,-4.9061,-106.8202,1.0136,False
2012-04-27,32.0,32.215,31.85,25.620277461,10444000.0,-0.1695,-0.0125,-0.1569,24.8366,26.4236,25.6301,48.6393,25.2995,25.5077,-2.8893,-77.2751,2.1174,False
