date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Middle Band,Real Upper Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-07-17,185.73,186.29,183.2,134.060428867,5158600.0,-1.5255,-2.1765,-0.651,139.6729,146.729,132.6167,34.1246,134.7232,138.6525,-6.687,-168.4023,14.0057,False
2012-07-18,184.15,188.59,183.55,137.418326895,8019500.0,-1.6198,-1.997,-0.3772,139.2831,145.9205,132.6456,44.6182,135.1612,138.4724,-5.7003,-127.5381,10.9327,False
2012-07-19,193.4,196.85,192.97,142.593869725,10395400.0,-1.58,-1.4207,0.1593,139.1575,145.4349,132.8801,56.1528,136.9497,138.5863,-1.4469,-9.1944,0.9905,True
2012-07-20,194.09,194.9,192.17,140.48423379,4789700.0,-1.4882,-1.1213,0.367,139.1232,145.3636,132.8827,51.471,137.8899,138.6374,-2.2813,-34.761,1.8568,True
2012-07-23,189.78,191.3,188.2,139.301669702,3904500.0,-1.3842,-0.9683,0.416,139.0184,145.1725,132.8644,49.0165,138.7717,138.4062,-1.837,-77.7594,6.0074,True
2012-07-24,190.92,191.32,188.56,138.943980564,3597100.0,-1.2806,-0.8659,0.4147,138.9265,145.027,132.826,48.2705,139.7484,138.1391,-1.0704,-76.2433,5.9844,True
2012-07-25,190.31,192.77,189.32,139.48416416,3833800.0,-1.171,-0.7327,0.4383,138.8947,144.9766,132.8128,49.5138,140.1616,137.903,-0.4698,-59.1303,4.3184,True
2012-07-26,193.49,194.95,192.57,141.579200538,3282900.0,-1.0274,-0.4529,0.5745,138.9294,145.064,132.7948,54.0979,139.9586,137.8378,0.6453,-12.3624,1.87,True
2012-07-27,195.1,197.41,193.95,143.360346448,4177300.0,-0.8392,-0.0864,0.7528,139.1115,145.5383,132.6848,57.6045,140.5339,138.0802,2.7749,26.609,0.8018,True
2012-07-30,196.32,197.84,195.92,143.57204002,2787000.0,-0.6276,0.2186,0.8462,139.1517,145.6786,132.6248,58.0129,141.3879,138.4213,1.0367,46.8739,1.2622,True
