date,open,high,low,Close,vol,MACD_Hist,MACD,MACD_Signal,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2014-03-06,532.79,534.4399,528.1,16.9858629038,6624600.0,0.0203,-0.0084,-0.0287,17.5196,16.9686,16.4176,50.953,16.9513,17.007,4.3356,-28.9009,0.439,True
2014-03-07,531.09,531.98,526.05,16.9759418157,7883200.0,0.0197,-0.0041,-0.0238,17.4833,16.9973,16.5113,50.7187,16.9782,16.9772,3.5988,-34.429,1.18,True
2014-03-10,528.36,533.33,528.3391,16.9913035005,6378000.0,0.0195,0.0006,-0.0189,17.4715,17.0153,16.5591,51.0918,16.9984,16.9493,1.9888,-25.9664,0.6782,True
2014-03-11,535.45,538.74,532.59,17.1567616469,9972300.0,0.0291,0.0174,-0.0117,17.4851,17.0267,16.5682,55.0216,17.0295,16.9281,1.2688,0.0613,1.3166,True
2014-03-12,534.51,537.35,532.0,17.1734034721,7118800.0,0.0347,0.0318,-0.003,17.4873,17.0277,16.568,55.4077,17.0567,16.9265,-0.0744,-0.438,1.0945,True
2014-03-13,537.44,539.66,529.16,16.9826625528,9205100.0,0.0243,0.0274,0.0031,17.4757,17.0193,16.5628,50.1237,17.056,16.9255,0.0185,-9.9336,0.0209,True
2014-03-14,528.79,530.89,523.0,16.7919216335,8471400.0,0.0043,0.0085,0.0042,17.4143,16.9877,16.5611,45.4769,17.0192,16.9243,-2.5622,-44.2365,2.2683,True
2014-03-17,527.7,529.97,525.85,16.8575288289,7126600.0,-0.0043,-0.0012,0.0031,17.3431,16.9601,16.577,47.2781,16.9925,16.9225,-2.9323,-35.4851,2.2683,False
2014-03-18,525.9,531.97,525.2001,17.0066651853,7487400.0,0.0,0.0031,0.0031,17.2404,16.9367,16.633,51.2043,16.9624,16.9425,-3.487,-23.6573,1.4884,False
2014-03-19,532.26,536.24,529.0,17.0021846939,8027000.0,0.0024,0.0061,0.0037,17.2081,16.9269,16.6457,51.0818,16.9282,16.9721,-1.9474,-8.5794,0.1648,True
2014-03-20,529.89,532.67,527.35,16.9202557084,7442800.0,-0.0015,0.0018,0.0033,17.2023,16.923,16.6438,48.7957,16.9157,16.9743,-0.8063,-21.4625,0.4723,False
2014-03-21,531.93,533.75,526.33,17.0537103449,13358800.0,0.0046,0.0091,0.0045,17.215,16.9352,16.6555,52.5054,16.9681,16.9885,-0.1534,-11.1283,0.0487,True
2014-03-24,538.42,540.5,535.06,17.2559725277,12703600.0,0.0211,0.0309,0.0098,17.2651,16.9538,16.6425,57.5047,17.0478,17.0129,1.9965,34.3461,2.5621,True
2014-03-25,541.5,545.75,539.59,17.4415928854,10081900.0,0.0421,0.0623,0.0203,17.3469,16.9905,16.6342,61.4905,17.1347,17.0422,3.0563,69.0091,4.5326,True
2014-03-26,546.52,549.0,538.86,17.2748545986,10706000.0,0.0422,0.073,0.0308,17.3433,17.0264,16.7095,56.3993,17.1893,17.058,4.5714,66.5337,5.7328,True
2014-03-27,540.015,541.5,535.1201,17.2006064555,7929700.0,0.035,0.0746,0.0396,17.3609,17.0421,16.7233,54.2561,17.2453,17.0724,2.4055,40.5617,4.1998,True
2014-03-28,538.32,538.9399,534.25,17.1814043496,7163000.0,0.0271,0.0735,0.0464,17.3694,17.0591,16.7488,53.6907,17.2709,17.0861,1.1619,34.8927,3.8436,True
2014-03-31,539.23,540.81,535.93,17.1775639284,6023900.0,0.0201,0.0714,0.0514,17.3777,17.0735,16.7692,53.5711,17.2552,17.0985,1.9146,44.6175,4.5568,True
2014-04-01,537.76,541.87,536.77,17.3347011622,7170000.0,0.0242,0.0816,0.0574,17.4127,17.0901,16.7675,57.7023,17.2338,17.1103,1.7329,60.1059,4.9631,True
2014-04-02,542.38,543.48,540.26,17.3635043212,6443600.0,0.0268,0.0909,0.0641,17.4491,17.1064,16.7638,58.4288,17.2516,17.123,1.6325,72.6497,5.5838,True
2014-04-03,541.39,542.5,537.64,17.2431711238,5798000.0,0.0187,0.0875,0.0688,17.4622,17.1193,16.7764,54.2576,17.2601,17.1404,1.5081,56.0335,4.4547,True
2014-04-04,539.81,540.0,530.58,17.0201066594,9830400.0,-0.0021,0.0661,0.0682,17.4612,17.1215,16.7817,47.5198,17.2278,17.1556,1.5076,20.1879,1.4806,False
2014-04-07,528.02,530.9,521.89,16.7528773514,10351800.0,-0.0328,0.0273,0.0601,17.4819,17.1096,16.7372,40.9868,17.1429,17.1486,-0.4556,-36.7476,2.0117,False
2014-04-08,525.19,526.12,518.7001,16.7519172461,8710300.0,-0.0509,-0.0036,0.0473,17.492,17.0893,16.6867,40.9651,17.0263,17.1316,-2.3425,-52.757,3.2545,False
