date,open,high,low,Close,vol,MACD_Signal,MACD,MACD_Hist,Real Upper Band,Real Middle Band,Real Lower Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-06-11,26.55,26.63,25.96,20.0557217177,28041300.0,-0.2715,0.0734,-0.3449,20.8155,19.2987,20.0571,45.6128,20.0418,19.9173,-4.7227,-83.8259,0.5086,True
2012-06-12,26.12,26.54,26.05,20.4686449857,29132000.0,-0.2164,0.1028,-0.3192,20.732,19.344,20.038,51.5205,20.2101,19.9363,-3.1387,-66.1956,0.5086,True
2012-06-13,26.46,26.865,26.34,20.4840813696,30496500.0,-0.1695,0.1198,-0.2892,20.6732,19.3765,20.0248,51.7305,20.2826,19.9626,-1.4128,-47.0181,2.7622,True
2012-06-14,26.58,27.06,26.42,20.8236818143,38301200.0,-0.1037,0.1484,-0.2521,20.7581,19.329,20.0436,56.2025,20.4432,20.0418,0.2594,-26.5415,4.0878,True
2012-06-15,27.02,27.44,26.88,21.1015367236,51838900.0,-0.0288,0.1786,-0.2075,20.9369,19.239,20.0879,59.4924,20.5867,20.1288,2.9257,6.5657,6.6108,True
2012-06-18,27.29,27.61,27.22,21.163282259,30432300.0,0.0351,0.194,-0.159,21.11,19.17,20.14,60.2042,20.8082,20.2152,3.9142,23.0223,7.7153,True
2012-06-19,27.59,27.63,27.25,21.2327459863,30060200.0,0.0903,0.1994,-0.1091,21.2734,19.1116,20.1925,61.0295,20.9611,20.2883,5.4983,27.1877,7.8457,True
2012-06-20,27.48,27.75,27.38,21.3330824813,28164900.0,0.1405,0.1997,-0.0592,21.4425,19.0668,20.2547,62.2414,21.1309,20.366,5.5936,38.3135,8.6333,True
2012-06-21,27.51,27.59,26.61,20.6152906323,47571100.0,0.121,0.1442,-0.0231,21.4658,19.1415,20.3037,50.2609,21.0892,20.4108,8.1537,-11.8233,2.8943,True
2012-06-22,26.88,26.96,26.67,20.7889499506,100360700.0,0.1182,0.1131,0.0051,21.5093,19.1972,20.3533,52.6247,21.0267,20.5031,4.5772,-20.3248,2.8943,True
2012-06-25,26.6,26.65,25.88,20.1058899652,41787800.0,0.0602,0.044,0.0161,21.5058,19.2247,20.3652,43.8437,20.8152,20.5551,3.0948,-73.0975,2.5672,True
2012-06-26,26.16,26.28,25.74,20.0711581016,34935400.0,0.0113,-0.0039,0.0152,21.5055,19.2184,20.3619,43.4487,20.5829,20.5847,-0.152,-85.0583,3.4904,False
2012-06-27,26.11,26.34,26.06,20.237099228,23642100.0,-0.014,-0.0233,0.0093,21.507,19.2238,20.3654,45.9417,20.3637,20.5924,0.5727,-66.1049,3.0648,False
2012-06-28,26.0,26.03,25.45,19.9360897429,40166600.0,-0.0576,-0.0535,-0.004,21.5072,19.2229,20.365,42.3162,20.2278,20.5867,-0.1534,-98.2814,7.0184,False
2012-06-29,26.28,26.65,26.21,20.5689814807,35082300.0,-0.0406,-0.0293,-0.0114,21.4789,19.3677,20.4233,51.023,20.1838,20.5991,3.6562,-36.6964,2.6893,False
2012-07-02,26.51,26.73,26.39,20.5805587686,21739700.0,-0.0259,-0.0117,-0.0143,21.4149,19.5571,20.486,51.1675,20.2788,20.6341,5.4022,-27.7681,2.1471,False
2012-07-03,26.72,26.86,26.56,20.7310635112,12515500.0,-0.0021,0.0097,-0.0118,21.3869,19.6955,20.5412,53.0946,20.4108,20.6516,5.045,-13.1343,1.2635,True
2012-07-05,26.81,26.84,26.37,20.4917995615,20324500.0,-0.0025,0.0074,-0.01,21.3838,19.7356,20.5597,49.7505,20.4617,20.6521,2.7959,-26.5874,2.5168,True
2012-07-06,26.44,26.5,25.93,20.1869309805,32515300.0,-0.0271,-0.0137,-0.0134,21.3734,19.7627,20.568,45.8114,20.5119,20.6096,0.2649,-57.4616,5.3463,False
2012-07-09,26.05,26.21,25.81,20.1985082683,27910200.0,-0.0452,-0.0254,-0.0198,21.3765,19.741,20.5588,45.9854,20.4378,20.5494,-1.0196,-66.3803,6.1022,False
2012-07-10,25.85,26.42,25.44,19.7276985609,47231600.0,-0.0964,-0.0613,-0.0351,21.4114,19.6733,20.5424,40.3411,20.2672,20.4537,-0.7886,-85.4657,8.3961,False
2012-07-11,25.57,25.62,25.22,19.5964892982,34809100.0,-0.1458,-0.0886,-0.0572,21.4607,19.5367,20.4987,38.9149,20.0403,20.3446,-3.4665,-115.6722,9.7295,False
2012-07-12,25.16,25.17,24.68,19.094806823,53147600.0,-0.223,-0.1326,-0.0904,21.5696,19.289,20.4293,33.9918,19.7609,20.1954,-6.3093,-157.1398,12.8946,False
