date,open,high,low,Close,vol,MACD_Signal,MACD_Hist,MACD,Real Middle Band,Real Lower Band,Real Upper Band,RSI,SMA,SMA,ROC,CCI,DX,crossover
2012-04-20,20.72,20.94,20.47,17.6514771305,11040600.0,-0.148,-0.0685,-0.2164,18.5225,17.3323,19.7127,41.4959,18.0199,18.4107,-0.9929,-106.1934,3.7268,False
2012-04-23,20.35,20.52,20.08,17.2830239671,10122500.0,-0.1733,-0.1014,-0.2747,18.4822,17.1862,19.7782,38.5207,17.9051,18.2559,-3.6167,-132.5878,5.2749,False
2012-04-24,20.19,22.5,19.53,18.534050987,35832200.0,-0.1821,-0.0353,-0.2175,18.4912,17.1964,19.7861,51.2391,17.9068,18.193,4.3599,-59.8353,2.7955,False
2012-04-25,21.71,21.865,19.91,17.8656940859,37444200.0,-0.1904,-0.033,-0.2234,18.4321,17.1364,19.7278,45.814,17.8537,18.1319,-3.4445,-85.2262,2.7955,False
2012-04-26,20.86,21.39,20.75,18.259853284,10683600.0,-0.1912,-0.003,-0.1941,18.385,17.1371,19.6328,49.2118,17.9188,18.1153,-5.8953,-64.7563,2.7955,False
2012-04-27,21.34,21.62,20.98,18.2170098929,8133100.0,-0.1874,0.015,-0.1724,18.316,17.1978,19.4341,48.855,18.0319,18.1159,-5.7952,-53.9436,3.6974,True
2012-04-30,21.25,21.49,21.105,18.3626774226,5787100.0,-0.1783,0.0365,-0.1418,18.2539,17.3037,19.204,50.171,18.2479,18.1456,-6.8083,-49.2648,3.6974,True
2012-05-01,21.35,21.89,21.26,18.3883834573,4565700.0,-0.1654,0.0513,-0.1141,18.1994,17.4277,18.9712,50.4122,18.2187,18.1787,-4.3687,-33.6008,5.2781,True
2012-05-02,21.25,21.34,20.88,18.0027929374,8819000.0,-0.1567,0.0348,-0.1219,18.1605,17.4329,18.888,46.7729,18.2461,18.1365,-5.742,-66.1786,3.6347,True
2012-05-03,21.0,21.03,20.1,17.4201228186,9452200.0,-0.16,-0.0131,-0.1731,18.106,17.3296,18.8825,41.8781,18.0782,18.0399,-3.5321,-107.3235,0.3643,False
2012-05-04,20.08,20.15,19.41,16.888864769,10939300.0,-0.1787,-0.0749,-0.2536,18.0401,17.1022,18.978,37.994,17.8126,17.9548,-6.3662,-157.2392,2.4063,False
2012-05-07,19.71,19.71,19.15,16.4947055709,9400000.0,-0.212,-0.1332,-0.3452,17.9689,16.814,19.1239,35.385,17.439,17.864,-6.7203,-180.7369,3.4279,False
2012-05-08,19.14,19.18,18.62,16.220507868,10179100.0,-0.2566,-0.1784,-0.435,17.8854,16.5011,19.2697,33.6622,17.0054,17.7103,-10.5828,-207.2485,5.4789,False
2012-05-09,18.59,19.17,18.5,16.2890572937,10135600.0,-0.3042,-0.1906,-0.4948,17.768,16.2654,19.2706,34.5162,16.6627,17.5875,-12.2654,-200.8844,5.9389,False
2012-05-10,18.66,18.9,17.7,15.4836015411,14143700.0,-0.3635,-0.2369,-0.6004,17.5988,15.8827,19.3149,29.7024,16.2753,17.4241,-15.018,-239.5915,8.9431,False
2012-05-11,17.95,18.33,17.85,15.3807774025,7509800.0,-0.4277,-0.2567,-0.6844,17.4595,15.5135,19.4056,29.1464,15.9737,17.2727,-16.3777,-248.0365,8.9431,False
2012-05-14,17.72,17.77,17.5,15.0551676302,5142400.0,-0.4958,-0.2726,-0.7684,17.3194,15.121,19.5179,27.4058,15.6858,17.1242,-17.1948,-271.3457,10.2403,False
2012-05-15,18.1,18.63,17.61,15.1408544124,10656000.0,-0.5604,-0.2583,-0.8186,17.1502,14.8314,19.469,28.6079,15.4699,16.898,-14.1475,-236.9575,6.4511,False
2012-05-16,17.74,18.01,17.26,14.8066759619,5619900.0,-0.6234,-0.252,-0.8753,16.984,14.4996,19.4684,26.7565,15.1734,16.6941,-16.0373,-254.8097,7.7632,False
2012-05-17,17.33,17.46,16.97,14.5667529717,8134600.0,-0.6845,-0.2444,-0.9289,16.8156,14.161,19.4702,25.4878,14.99,16.4479,-18.1435,-261.3137,8.8406,False
2012-05-18,17.34,17.96,17.27,15.0208929173,14281900.0,-0.7324,-0.1917,-0.9241,16.6841,13.9487,19.4194,32.025,14.9181,16.2348,-14.2311,-214.0036,6.6562,False
2012-05-21,17.41,18.1,17.41,15.4064834372,10375600.0,-0.7617,-0.1173,-0.879,16.5902,13.8151,19.3654,37.0491,14.9883,16.0377,-11.7934,-184.0706,6.0502,False
2012-05-22,17.99,18.32,17.79,15.4150521154,8867500.0,-0.776,-0.057,-0.833,16.4343,13.765,19.1035,37.1597,15.0432,15.8395,-18.5778,-160.0781,5.0959,False
2012-05-23,17.63,17.76,17.0,14.7638325708,15833000.0,-0.7886,-0.0507,-0.8394,16.2792,13.6002,18.9582,32.5093,15.0346,15.6236,-18.7743,-186.2548,8.1153,False
2012-05-24,17.27,17.28,16.86,14.5667529717,12832500.0,-0.801,-0.0495,-0.8505,16.0945,13.4787,18.7104,31.2416,15.0346,15.4333,-19.2146,-186.5078,8.6392,False
2012-05-25,17.02,17.39,17.0,14.695283145,7823100.0,-0.8087,-0.0307,-0.8393,15.9185,13.4267,18.4103,33.0655,14.9695,15.2871,-19.5652,-166.8329,8.1465,False
2012-05-29,17.29,17.58,17.25,14.9180687787,6946000.0,-0.8076,0.0044,-0.8032,15.7462,13.4889,18.0036,36.208,14.8718,15.182,-18.1945,-145.11,7.2919,True
2012-05-30,17.2,17.39,16.9,14.7895386054,6935700.0,-0.8013,0.0252,-0.776,15.5663,13.629,17.5036,35.1869,14.7467,15.0866,-20.5573,-146.1734,8.6443,True
2012-05-31,17.26,17.33,16.9,14.7381265361,7004300.0,-0.791,0.041,-0.75,15.4031,13.7917,17.0144,34.7667,14.7416,14.9832,-18.791,-138.9372,8.6443,True
2012-06-01,16.75,16.97,16.595,14.4125167638,8327500.0,-0.7822,0.0352,-0.747,15.2527,13.8785,16.6269,32.1604,14.7107,14.9118,-19.3058,-144.7943,9.8298,True
2012-06-04,16.85,16.99,16.53,14.3182613034,8355200.0,-0.7745,0.0308,-0.7437,15.1241,13.9152,16.3331,31.4297,14.6353,14.841,-15.6824,-138.3244,10.0827,True
2012-06-05,16.73,17.135,16.7,14.5667529717,6603500.0,-0.7622,0.0494,-0.7128,15.0277,13.9738,16.0817,35.5652,14.565,14.8084,-13.0644,-123.1508,9.3868,True
2012-06-06,17.11,17.52,17.05,14.9780495262,6467500.0,-0.7393,0.0916,-0.6476,14.9656,14.0649,15.8664,41.7909,14.6027,14.7975,-8.6548,-102.0616,7.5508,True
2012-06-07,17.26,17.38,16.47,14.1982998083,16384900.0,-0.7217,0.0703,-0.6514,14.8611,14.1296,15.5926,34.9346,14.4948,14.757,-9.3375,-117.083,9.8684,True
2012-06-08,16.67,16.97,16.5,14.4724975113,13155900.0,-0.7024,0.0773,-0.6251,14.8105,14.1195,15.5016,38.7224,14.5068,14.7507,-10.2116,-112.2162,9.8684,True
2012-06-11,17.01,17.15,16.38,14.0526322786,9049900.0,-0.6881,0.0572,-0.6308,14.7441,14.0301,15.4581,35.3465,14.4536,14.6861,-6.4375,-112.142,8.9915,True
2012-06-12,16.66,16.72,16.33,14.2325745212,9365000.0,-0.6732,0.0594,-0.6138,14.703,13.9709,15.4351,37.8351,14.3868,14.6079,-5.9088,-110.285,9.1962,True
2012-06-13,16.59,16.8,16.23,14.0183575658,12029100.0,-0.6607,0.0502,-0.6105,14.6469,13.8861,15.4077,36.0645,14.1949,14.5148,-9.8229,-108.6885,9.6098,True
2012-06-14,16.36,16.42,15.95,13.8812587143,10244000.0,-0.6509,0.039,-0.6119,14.6006,13.7745,15.4267,34.9431,14.1315,14.4559,-8.8284,-113.1236,10.7671,True
2012-06-15,16.17,16.44,16.08,14.0783383133,9451600.0,-0.6388,0.0485,-0.5904,14.5762,13.7193,15.4331,37.9162,14.0526,14.4234,-5.8419,-104.5408,10.6642,True
2012-06-18,16.32,16.46,16.2,14.0097888875,7693300.0,-0.6255,0.0533,-0.5722,14.5256,13.6604,15.3909,37.2813,14.0441,14.3777,-8.3519,-99.9652,10.5597,True
2012-06-19,16.44,16.7,16.36,14.1040443479,9354400.0,-0.6092,0.0653,-0.5439,14.4605,13.6781,15.2429,38.7913,14.0184,14.3234,-7.7348,-90.9798,9.3005,True
2012-06-20,16.5,16.84,16.415,14.3353986598,6601500.0,-0.5868,0.0896,-0.4971,14.4065,13.7574,15.0556,42.4361,14.0818,14.2931,-8.0786,-83.0819,8.567,True
2012-06-21,16.61,16.7,15.82,13.6070610113,9336900.0,-0.572,0.0591,-0.5129,14.3487,13.6344,15.063,35.3383,14.0269,14.2177,-5.9685,-97.2584,11.1442,True
2012-06-22,15.96,16.15,15.82,13.7441598628,14238300.0,-0.5593,0.0508,-0.5085,14.3076,13.5545,15.0606,37.4483,13.9601,14.1732,-6.5394,-98.6811,11.1442,True
2012-06-25,15.81,15.81,15.42,13.3585693429,4682700.0,-0.5534,0.0235,-0.5299,14.2407,13.4045,15.0769,34.0956,13.8298,14.1092,-9.0857,-108.8749,12.8521,True
2012-06-26,15.57,15.7,15.34,13.2386078479,6165500.0,-0.5528,0.0025,-0.5503,14.1567,13.2735,15.04,33.1076,13.6568,14.0206,-10.694,-109.6583,13.1914,True
2012-06-27,15.42,15.68,15.35,13.3500006647,5057300.0,-0.5525,0.0013,-0.5511,14.0848,13.1851,14.9845,34.9821,13.4597,13.9121,-9.8332,-105.8109,13.1914,True
2012-06-28,15.43,15.68,15.31,13.3071572736,6840100.0,-0.5517,0.0029,-0.5489,14.0132,13.1052,14.9213,34.5827,13.3997,13.8527,-9.5211,-104.3588,13.3659,True
2012-06-29,15.75,16.32,15.74,13.9755141747,6761700.0,-0.5389,0.0513,-0.4876,13.9914,13.102,14.8808,45.0648,13.446,13.8196,-3.8303,-81.1701,9.7765,True
2012-07-02,16.24,16.25,15.75,13.5813549766,4336300.0,-0.5242,0.0588,-0.4654,13.9545,13.0613,14.8477,40.9216,13.4905,13.7881,-4.3555,-85.3219,9.7765,True
2012-07-03,15.87,16.22,15.83,13.8298466449,1852400.0,-0.5039,0.081,-0.4229,13.9177,13.0688,14.7665,44.376,13.6088,13.7613,-5.3399,-79.5426,9.7765,True
2012-07-05,16.05,16.345,15.91,13.8212779667,3825600.0,-0.4803,0.0948,-0.3855,13.8598,13.164,14.5557,44.2803,13.703,13.7482,-6.7066,-75.6394,9.0672,True
2012-07-06,15.87,15.89,15.41,13.3500006647,4621700.0,-0.4621,0.0727,-0.3894,13.8174,13.1061,14.5288,39.2896,13.7116,13.7127,-8.5731,-92.5957,11.3961,True
2012-07-09,15.51,15.51,15.08,13.0243908924,4945900.0,-0.4525,0.0385,-0.414,13.745,13.0204,14.4696,36.2639,13.5214,13.6425,-8.6034,-105.0693,12.8935,True
2012-07-10,15.33,15.59,14.76,12.7159184765,6576200.0,-0.4526,-0.0005,-0.4531,13.6782,12.8415,14.5149,33.6348,13.3483,13.5562,-9.0962,-111.1185,14.3213,False
2012-07-11,14.79,15.0,14.52,12.578819625,7033900.0,-0.46,-0.0296,-0.4895,13.5955,12.6719,14.519,32.5124,13.0981,13.4545,-10.2871,-122.1637,15.3793,False
2012-07-12,14.53,14.64,14.17,12.4331520953,9233400.0,-0.4728,-0.0513,-0.5241,13.5162,12.4856,14.5469,31.3225,12.8205,13.3277,-12.8571,-132.5063,16.9011,False
2012-07-13,14.57,14.71,14.44,12.4245834171,5340800.0,-0.4874,-0.0585,-0.546,13.4434,12.3241,14.5627,31.2504,12.6354,13.2489,-10.4141,-126.5778,16.4751,False
2012-07-16,14.45,14.55,14.2,12.2446411745,6956100.0,-0.5042,-0.067,-0.5712,13.3517,12.1576,14.5458,29.7119,12.4794,13.1489,-11.4964,-133.439,17.5231,False
2012-07-17,14.32,14.37,14.01,12.227503818,5969800.0,-0.5205,-0.0653,-0.5858,13.2626,12.0135,14.5117,29.5633,12.3817,13.0735,-12.6974,-136.9414,18.3479,False
2012-07-18,14.25,15.39,14.24,13.0329595706,10232700.0,-0.5217,-0.0047,-0.5263,13.209,12.0184,14.3997,43.7277,12.4726,13.0598,-7.8443,-102.8839,12.2209,False
2012-07-19,15.31,15.86,15.3,13.5727862984,11098600.0,-0.5035,0.0728,-0.4307,13.1709,12.0825,14.2593,50.8283,12.7005,13.0747,-5.8195,-69.2246,9.563,True
2012-07-20,15.72,15.95,15.51,13.4099814122,9918200.0,-0.4755,0.1117,-0.3638,13.1611,12.0851,14.237,48.837,12.8976,13.0815,-4.491,-65.8987,9.06,True
2012-07-23,15.27,15.3,14.68,13.0415282488,5740800.0,-0.4478,0.1111,-0.3367,13.1259,12.0831,14.1688,44.6003,13.057,13.0192,-5.2632,-95.6651,12.814,True
2012-07-24,15.09,15.18,14.55,12.694496781,14828900.0,-0.4261,0.0868,-0.3392,13.0927,12.0394,14.1461,41.01,13.1504,12.9601,-3.9848,-105.7439,13.3835,True
2012-07-25,16.05,17.0,15.93,14.1383190608,21426500.0,-0.3853,0.1631,-0.2222,13.1377,11.9906,14.2848,56.5878,13.3714,12.9807,8.2803,-16.3081,3.736,True
2012-07-26,16.64,16.98,16.37,14.421085442,13488100.0,-0.3293,0.2239,-0.1054,13.1913,11.9166,14.4659,58.8671,13.5411,13.0207,8.2908,2.5744,3.736,True
2012-07-27,16.99,17.97,16.79,15.243678551,16051300.0,-0.2529,0.3057,0.0529,13.2881,11.7302,14.846,64.6517,13.9078,13.1469,14.6046,57.7145,1.0027,True
2012-07-30,17.69,17.99,17.31,15.0380302738,10535000.0,-0.1703,0.3302,0.1599,13.3412,11.6284,15.054,62.3047,14.3071,13.2812,10.2328,70.5631,1.0955,True
2012-07-31,17.57,17.765,17.21,15.0208929173,10080400.0,-0.0882,0.3287,0.2405,13.4132,11.5515,15.2748,62.1034,14.7724,13.4348,9.3231,67.8736,0.6158,True
2012-08-01,17.52,18.06,16.18,15.1751291253,41379900.0,-0.0079,0.3212,0.3133,13.4805,11.472,15.4889,63.2483,14.9798,13.6079,11.344,59.3086,4.148,True
2012-08-02,17.33,17.92,17.18,15.0637363084,13997300.0,0.0653,0.2926,0.3579,13.5426,11.4221,15.6631,61.8035,15.1083,13.7833,9.636,80.6029,4.148,True
2012-08-03,17.86,18.14,17.68,15.4921702194,7758700.0,0.1368,0.2861,0.4229,13.6497,11.3686,15.9308,65.0899,15.158,13.9878,14.1598,114.0017,3.07,True
2012-08-06,18.16,18.71,18.14,15.9634475214,10736500.0,0.2107,0.2958,0.5066,13.7966,11.3249,16.2684,68.304,15.3431,14.2357,20.6319,153.0051,0.3338,True
